Spread,Oeff1,Deff1,Oeff2,Deff2,Result
-2.5,101.3,101.7,101.8,105.4,1
-6.5,101.3,101.7,NaN,NaN,1
+3.0,101.3,101.7,NaN,NaN,0
-5.5,101.3,101.7,109.7,107.6,1
-4.5,101.3,101.7,98.7,105.5,0
+8.5,101.3,101.7,110.6,100.8,1
-4.0,101.3,101.7,101.8,105.4,0
-6.0,99.5,103.9,NaN,NaN,0
-12.0,99.5,103.9,NaN,NaN,0
-2.0,99.5,103.9,100.3,107.8,1
+6.5,99.5,103.9,NaN,NaN,0
-1.0,99.5,103.9,95.8,104.1,1
-2.5,99.5,103.9,102.7,110.9,0
+1.0,93.7,98.9,NaN,NaN,0
-7.5,93.7,98.9,98.3,107.9,0
-2.0,93.7,98.9,100.5,98.6,0
-5.0,93.7,98.9,103.4,105.9,0
-1.5,93.7,98.9,96.2,107.0,0
-8.5,93.7,98.9,101.0,112.2,1
-5.0,101.3,101.7,95.4,102.7,0
-3.5,101.3,101.7,95.0,109.2,1
-3.0,101.3,101.7,97.0,106.0,0
-1.0,101.3,101.7,98.6,107.9,1
-8.0,99.5,103.9,102.6,107.6,0
-2.5,93.7,98.9,106.4,110.0,0
-4.5,94.9,104.3,102.7,116.8,1
-1.5,94.9,104.3,99.7,111.1,1
-6.0,94.9,104.3,101.7,108.9,0
-13.5,94.9,104.3,111.3,93.7,0
-5.0,94.9,104.3,111.1,107.7,0
-2.5,101.1,109.1,104.7,99.5,0
-3.0,101.1,109.1,89.2,103.8,1
+3.0,101.1,109.1,98.4,101.9,0
-3.5,101.3,101.7,99.5,109.2,1
-2.5,101.3,101.7,102.6,109.2,1
-9.0,101.3,101.7,104.3,102.9,0
-7.0,99.5,103.9,105.0,109.3,1
-9.5,99.5,103.9,103.7,105.9,0
-10.0,99.5,103.9,97.9,116.9,1
-1.5,93.7,98.9,99.8,109.5,1
-21.0,93.7,98.9,112.4,93.4,0
-4.5,101.3,101.7,98.7,105.5,1
-1.0,101.3,101.7,109.7,107.6,1
-7.0,101.3,101.7,103.9,101.5,0
-2.5,101.3,101.7,105.2,107.3,0
-1.0,101.3,101.7,106.3,103.3,1
-2.5,101.3,101.7,98.3,105.2,1
-10.5,101.3,101.7,110.6,100.8,0
-12.0,99.5,103.9,NaN,NaN,0
-3.0,99.5,103.9,100.3,107.8,1
+8.0,99.5,103.9,NaN,NaN,1
+2.0,99.5,103.9,NaN,NaN,0
-4.5,99.5,103.9,102.7,110.9,1
+4.0,99.5,103.9,106.9,99.5,0
-3.5,99.5,103.9,105.0,109.3,0
-7.0,99.5,103.9,99.9,101.2,0
-5.5,93.7,98.9,96.2,107.0,1
-6.0,93.7,98.9,99.8,109.5,1
-5.5,93.7,98.9,NaN,NaN,0
+5.0,93.7,98.9,111.6,101.3,0
-3.0,93.7,98.9,103.4,105.9,0
-2.5,93.7,98.9,NaN,NaN,0
-2.0,93.7,98.9,101.0,112.2,1
+2.0,94.9,104.3,101.1,102.1,0
-4.5,101.3,101.7,101.8,106.0,1
-9.0,101.3,101.7,103.1,108.7,1
+1.0,101.3,101.7,109.7,107.6,0
-7.0,101.3,101.7,110.6,100.8,1
-4.5,101.3,101.7,NaN,NaN,1
-2.5,101.3,101.7,NaN,NaN,1
-6.0,101.3,101.7,NaN,NaN,0
-8.5,99.5,103.9,106.9,99.5,0
-2.0,99.5,103.9,99.9,101.2,1
-6.5,99.5,103.9,95.8,104.1,1
-6.0,99.5,103.9,98.3,109.0,1
-9.5,99.5,103.9,106.9,99.5,0
-6.5,93.7,98.9,NaN,NaN,0
-1.5,93.7,98.9,103.4,105.9,1
-5.5,93.7,98.9,NaN,NaN,0
-1.5,93.7,98.9,98.3,107.9,0
-3.0,94.9,104.3,101.9,108.8,0
-3.0,94.9,104.3,101.1,108.1,0
+7.5,94.9,104.3,115.6,104.3,0
-10.5,101.1,109.1,104.7,97.1,0
-16.0,101.1,109.1,110.0,95.7,1
+3.0,101.1,109.1,94.0,99.7,1
-2.0,101.1,109.1,90.8,104.3,1
-13.5,101.1,109.1,109.7,104.2,0
+2.0,101.1,109.1,109.9,112.8,0
