Team,Opponent,Spread,TeamOeff,TeamDeff,OppOeff2,OppDeff2,Result
1426,1157,-6.5,110.6,100.8,101.8,105.4,0
1426,1111,-7.0,110.6,100.8,99.5,109.2,1
1426,1418,-6.0,110.6,100.8,NaN,NaN,1
1426,1419,-14.0,110.6,100.8,NaN,NaN,1
1426,1375,-4.5,110.6,100.8,98.7,105.5,1
1426,1407,-5.0,110.6,100.8,109.7,107.6,0
1426,1402,-8.5,110.6,100.8,101.3,101.7,0
1426,1111,-15.0,110.6,100.8,99.5,109.2,1
1426,1418,-6.0,106.9,99.5,NaN,NaN,0
1426,1419,-3.5,106.9,99.5,NaN,NaN,0
1426,1114,-3.0,106.9,99.5,NaN,NaN,0
1426,1117,-13.5,106.9,99.5,100.3,107.8,1
1426,1375,-12.0,106.9,99.5,95.8,104.1,0
1426,1407,-7.0,106.9,99.5,98.3,109.0,1
1426,1111,-12.0,106.9,99.5,102.7,110.9,1
1426,1204,-16.5,106.9,99.5,105.0,109.3,1
1426,1407,-9.5,103.4,105.9,99.8,109.5,0
1426,1209,+5.0,103.4,105.9,111.6,101.3,0
1426,1114,-1.0,103.4,105.9,NaN,NaN,1
1426,1419,-3.0,103.4,105.9,NaN,NaN,1
1426,1402,-5.0,103.4,105.9,93.7,98.9,1
1426,1209,-12.0,103.4,105.9,111.6,101.3,0
1426,1400,-8.0,110.6,100.8,104.2,93.7,1
1426,1200,-1.0,110.6,100.8,97.0,100.0,1
1426,1116,-12.0,110.6,100.8,116.1,99.8,0
1426,1278,-1.5,110.6,100.8,109.7,93.7,0
1426,1349,-3.0,106.9,99.5,105.7,115.8,1
1426,1272,-12.5,106.9,99.5,107.5,97.4,1
1426,1326,-18.5,106.9,99.5,107.0,97.0,1
1426,1256,-6.5,106.9,99.5,104.6,103.7,0
1426,1200,-3.0,106.9,99.5,102.3,102.4,1
1426,1286,-5.0,103.4,105.9,95.7,110.8,0
1426,1246,-32.5,103.4,105.9,121.3,84.4,0
1426,1138,-3.5,103.4,105.9,111.3,99.4,0
1426,1133,-4.5,103.4,105.9,93.7,101.3,1
1426,1400,-15.5,105.9,110.3,111.8,97.3,0
1426,1185,-8.5,105.9,110.3,98.5,95.3,0
1426,1157,-14.0,110.6,100.8,101.8,105.4,1
1426,1258,-3.5,110.6,100.8,103.0,103.4,1
1426,1133,-9.5,110.6,100.8,98.4,102.7,1
1426,,-15.0,110.6,100.8,100.9,93.7,1
1426,1317,-12.5,110.6,100.8,96.3,110.8,1
1426,1209,-4.5,106.9,99.5,99.9,101.2,1
1426,1133,-18.0,106.9,99.5,86.6,102.6,1
1426,1431,-1.5,106.9,99.5,102.6,107.6,1
1426,1317,-16.5,106.9,99.5,100.8,112.7,1
1426,1400,-9.5,106.9,99.5,113.0,96.8,0
1426,1204,-4.5,103.4,105.9,100.5,98.6,1
1426,1414,-12.0,103.4,105.9,106.3,99.2,1
1426,1451,-3.0,103.4,105.9,99.9,108.3,1
1426,1400,-23.5,103.4,105.9,112.4,93.4,0
1426,1328,-15.5,105.9,110.3,117.9,100.0,0
1426,1176,-2.0,98.8,97.5,110.0,95.7,0
1426,1407,-9.5,110.6,100.8,109.7,107.6,1
1426,1375,-13.0,110.6,100.8,98.7,105.5,1
1426,1204,-6.0,110.6,100.8,105.2,107.3,1
1426,1209,-2.0,110.6,100.8,103.9,101.5,1
1426,1114,-11.5,110.6,100.8,98.3,105.2,1
1426,1117,-7.5,110.6,100.8,106.3,103.3,1
1426,1402,-10.5,110.6,100.8,101.3,101.7,1
1426,1117,-7.5,106.9,99.5,100.3,107.8,1
1426,1114,-6.5,106.9,99.5,NaN,NaN,0
1426,1419,-7.0,106.9,99.5,NaN,NaN,0
1426,1418,-2.0,106.9,99.5,NaN,NaN,1
1426,1111,-13.5,106.9,99.5,102.7,110.9,1
1426,1402,-4.0,106.9,99.5,99.5,103.9,1
1426,1209,-2.0,106.9,99.5,99.9,101.2,1
1426,1204,-4.5,106.9,99.5,105.0,109.3,0
1426,1114,-4.0,103.4,105.9,NaN,NaN,1
1426,1117,-2.0,103.4,105.9,96.2,107.0,0
1426,1418,-1.5,103.4,105.9,NaN,NaN,0
1426,1111,-10.0,103.4,105.9,98.3,107.9,1
1426,1375,-4.0,103.4,105.9,101.0,112.2,0
1426,1402,-3.0,103.4,105.9,93.7,98.9,1
1426,1418,-7.5,103.4,105.9,NaN,NaN,1
1426,1209,+6.0,105.9,110.3,115.6,104.3,0
1426,,-3.5,110.6,100.8,100.9,93.7,0
1426,1103,-5.0,110.6,100.8,112.6,106.4,1
1426,1140,-5.5,110.6,100.8,109.1,100.5,1
1426,1402,-7.0,110.6,100.8,101.3,101.7,0
1426,1157,-9.0,110.6,100.8,101.8,105.4,1
1426,1418,-2.0,110.6,100.8,NaN,NaN,0
1426,1419,-8.5,110.6,100.8,NaN,NaN,1
1426,1312,-3.5,106.9,99.5,102.3,105.9,0
1426,1366,-12.5,106.9,99.5,87.4,104.2,1
1426,1419,-1.0,106.9,99.5,NaN,NaN,0
1426,1402,-8.5,106.9,99.5,99.5,103.9,1
1426,1407,-14.0,106.9,99.5,98.3,109.0,1
1426,1375,-14.5,106.9,99.5,95.8,104.1,1
1426,1402,-9.5,106.9,99.5,99.5,103.9,1
1426,1402,-1.5,103.4,105.9,93.7,98.9,0
1426,1111,-2.0,103.4,105.9,98.3,107.9,0
1426,1204,-6.5,103.4,105.9,100.5,98.6,0
1426,1418,-7.0,105.9,110.3,NaN,NaN,0
1426,1419,-3.0,105.9,110.3,NaN,NaN,1
1426,1375,-2.0,105.9,110.3,101.1,108.1,0
1426,1407,-1.5,105.9,110.3,101.9,108.8,1
1426,1443,+1.0,105.9,110.3,101.1,102.1,1
1426,1331,-4.0,98.8,97.5,106.6,104.4,0
1426,1308,-5.0,98.8,97.5,104.7,97.1,0
1426,1427,-7.0,98.8,97.5,100.9,108.8,1
1426,1429,-3.0,98.8,97.5,109.7,104.2,1
1426,1308,-9.5,98.8,97.5,104.7,97.1,0
