Spread,Oeff1,Deff1,Oeff2,Deff2,Result
-5.5,94.9,103.7,98.7,113.3,0
+11.0,94.9,103.7,111.9,107.2,0
-10.5,94.9,103.7,100.5,98.0,0
-6.5,94.9,103.7,113.5,102.1,0
-1.5,94.9,103.7,106.5,108.7,0
+3.5,94.9,103.7,104.7,101.1,0
-12.0,94.9,103.7,111.9,107.2,0
-7.0,94.9,103.7,105.0,103.6,0
+3.5,94.9,103.7,107.2,106.9,0
-21.0,94.9,103.7,115.9,92.7,0
-2.5,94.9,103.7,108.6,107.9,0
-5.0,94.9,103.7,107.9,113.3,0
-13.5,94.9,103.7,98.7,105.5,1
+7.0,94.9,103.7,103.2,101.6,1
-14.5,94.9,103.7,110.1,99.3,0
+3.5,94.9,103.7,100.9,107.0,1
-6.5,94.9,103.7,105.7,114.5,0
-10.5,94.9,103.7,104.7,101.1,0
+5.5,94.9,103.7,105.0,103.6,1
+3.0,94.9,103.7,99.6,102.7,0
-1.0,94.9,103.7,113.5,102.1,1
+7.0,94.9,103.7,100.5,98.0,0
-11.5,94.9,103.7,99.6,102.7,1
-7.0,94.9,103.7,104.7,101.1,0
-8.5,94.9,103.7,106.5,108.7,0
-4.0,94.9,103.7,98.7,113.3,1
