Team,Opponent,Spread,TeamOeff,TeamDeff,OppOeff2,OppDeff2,Result
1364,1415,-11.0,111.9,107.2,94.9,103.7,1
1364,1168,+1.0,111.9,107.2,105.0,103.6,1
1364,1414,-7.0,111.9,107.2,100.5,98.0,1
1364,1168,-6.0,111.9,107.2,105.0,103.6,1
1364,1218,+3.0,111.9,107.2,99.6,102.7,0
1364,1415,-12.0,111.9,107.2,94.9,103.7,1
1364,1142,-4.5,111.9,107.2,98.7,113.3,0
1364,1362,+5.5,111.9,107.2,103.1,100.8,1
1364,1285,+2.5,111.9,107.2,110.1,99.3,1
1364,1337,-3.0,111.9,107.2,105.7,114.5,1
1364,1401,+21.0,111.9,107.2,111.2,94.3,0
1364,1338,+5.5,111.9,107.2,99.2,104.8,0
1364,1295,-2.0,111.9,107.2,105.4,105.6,1
1364,1170,-8.5,111.9,107.2,100.2,110.6,1
1364,1425,+12.0,111.9,107.2,115.4,100.1,0
1364,1286,+1.0,111.9,107.2,102.4,111.6,1
1364,1303,-10.5,111.9,107.2,104.5,114.9,1
1364,1360,-3.0,111.9,107.2,104.7,100.4,1
1364,,-8.5,111.9,107.2,113.5,102.1,1
1364,1414,+2.5,111.9,107.2,100.5,98.0,0
1364,1413,-6.0,111.9,107.2,104.7,101.1,0
1364,1253,+1.5,111.9,107.2,106.5,108.7,1
1364,,-14.0,111.9,107.2,113.5,102.1,1
1364,1218,-6.5,111.9,107.2,99.6,102.7,1
1364,1414,-2.5,111.9,107.2,100.5,98.0,0
1364,1142,-10.0,111.9,107.2,98.7,113.3,1
1364,1142,-12.5,111.9,107.2,98.7,113.3,1
1364,1253,-7.5,111.9,107.2,106.5,108.7,0
