Spread,Oeff1,Deff1,Oeff2,Deff2,Result
-7.0,124.0,100.4,114.2,100.7,0
-5.5,124.0,100.4,118.4,95.1,0
-19.5,124.0,100.4,111.9,109.1,1
-2.5,124.0,100.4,113.5,99.3,1
-5.0,124.0,100.4,112.6,102.3,1
-21.0,124.0,100.4,104.8,98.9,1
-10.5,124.0,100.4,104.9,92.7,1
-10.0,112.6,101.9,103.7,105.9,1
-5.0,112.6,101.9,110.4,99.2,0
-6.5,112.6,101.9,119.1,96.4,0
-3.0,112.6,101.9,110.7,99.1,1
-2.5,112.6,101.9,113.9,99.7,0
-5.5,112.6,101.9,109.6,101.2,1
+3.0,112.6,101.9,116.8,95.8,1
-4.0,112.6,101.9,103.7,105.9,0
-1.5,112.6,101.9,110.4,99.2,0
-6.5,112.9,98.2,107.5,100.5,1
+6.0,112.9,98.2,116.4,89.2,1
-2.5,112.9,98.2,115.2,101.3,0
-2.0,112.9,98.2,100.0,94.1,0
-5.0,112.9,98.2,101.6,100.1,1
-6.5,112.9,98.2,104.2,99.0,1
-23.5,124.0,100.4,92.3,105.9,1
-5.5,124.0,100.4,108.7,97.3,1
-9.5,124.0,100.4,105.0,99.8,1
-15.5,124.0,100.4,98.7,108.9,1
-15.5,124.0,100.4,104.6,110.1,1
-28.0,124.0,100.4,100.0,108.4,1
-19.0,124.0,100.4,100.9,93.7,1
-16.5,124.0,100.4,99.5,106.5,1
-19.0,112.6,101.9,109.2,96.0,1
-5.5,112.6,101.9,107.3,102.5,0
+9.0,112.6,101.9,120.0,90.4,0
-4.5,112.6,101.9,103.4,98.3,1
-8.0,112.6,101.9,106.1,103.0,1
-7.0,112.6,101.9,107.6,111.3,1
-14.0,112.6,101.9,107.3,99.2,0
-14.0,112.9,98.2,104.9,101.9,1
-5.0,112.9,98.2,119.1,95.3,0
-2.0,112.9,98.2,112.5,89.7,0
-10.0,112.9,98.2,104.0,100.9,1
-27.5,112.9,98.2,90.0,108.3,1
-16.0,112.9,98.2,106.7,104.3,1
-25.0,112.9,98.2,95.7,110.8,1
-14.0,118.7,96.1,98.3,94.9,1
-21.0,124.0,100.4,97.0,105.8,1
-2.0,124.0,100.4,118.2,93.2,0
-30.0,124.0,100.4,107.1,106.8,1
-8.5,124.0,100.4,111.2,101.0,1
-30.0,124.0,100.4,91.3,109.2,1
-8.5,124.0,100.4,122.3,99.2,1
-11.0,124.0,100.4,119.1,91.4,1
-28.5,112.6,101.9,97.8,114.3,1
-8.0,112.6,101.9,124.4,94.6,0
-9.5,112.6,101.9,NaN,NaN,1
-8.0,112.6,101.9,116.3,95.5,1
-11.5,112.6,101.9,108.5,101.9,1
+6.5,112.6,101.9,121.8,96.6,1
-4.0,112.9,98.2,111.6,99.3,0
-15.5,112.9,98.2,121.3,84.4,0
+6.5,112.9,98.2,121.7,93.9,0
-17.0,112.9,98.2,98.5,102.8,1
-10.0,112.9,98.2,104.0,98.0,1
-16.0,112.9,98.2,99.1,109.7,1
-9.5,118.7,96.1,107.8,99.2,1
-14.0,118.7,96.1,106.4,107.0,1
-5.0,118.7,96.1,124.7,100.4,0
-2.5,124.0,100.4,118.4,95.1,1
-13.0,124.0,100.4,111.9,109.1,1
-9.5,124.0,100.4,114.2,100.7,1
-25.5,124.0,100.4,97.0,105.8,1
-4.5,124.0,100.4,118.2,93.2,1
-10.5,124.0,100.4,107.7,107.4,1
-16.5,124.0,100.4,104.4,106.1,1
-1.0,112.6,101.9,108.0,100.5,0
-7.5,112.6,101.9,112.5,94.2,0
-5.0,112.6,101.9,108.8,95.9,1
-1.5,112.6,101.9,115.6,98.8,0
-2.0,112.6,101.9,109.6,101.2,1
-12.0,112.6,101.9,116.8,95.8,0
-5.5,112.6,101.9,113.9,99.7,0
-11.0,112.9,98.2,108.8,103.8,1
-14.0,112.9,98.2,119.9,87.5,0
-3.0,112.9,98.2,109.8,98.7,0
-6.5,112.9,98.2,115.2,101.3,1
-9.0,112.9,98.2,100.0,94.1,1
-4.0,112.9,98.2,104.2,99.0,0
-7.0,112.9,98.2,113.6,98.9,1
-3.5,118.7,96.1,118.9,99.9,0
-2.0,118.7,96.1,112.4,96.4,0
-1.5,124.0,100.4,119.1,91.4,0
-4.0,124.0,100.4,114.9,92.8,1
-19.0,124.0,100.4,104.9,103.3,1
-2.5,124.0,100.4,118.4,95.1,0
-10.5,124.0,100.4,114.2,100.7,1
-23.5,124.0,100.4,104.4,106.1,1
-24.5,124.0,100.4,107.7,107.4,1
-1.5,112.6,101.9,113.9,99.7,0
-6.5,112.6,101.9,110.7,99.1,0
+3.0,112.6,101.9,119.1,96.4,0
-8.5,112.9,98.2,121.7,93.9,0
-5.5,112.9,98.2,104.9,101.9,1
-4.0,112.9,98.2,113.1,95.6,1
-11.0,112.9,98.2,119.9,87.5,0
-10.5,112.9,98.2,101.6,100.1,1
-13.0,112.9,98.2,101.6,100.1,1
-15.0,112.9,98.2,109.1,110.8,1
-4.5,118.7,96.1,116.5,88.0,0
-10.0,118.7,96.1,112.3,101.5,1
-8.0,118.7,96.1,106.1,97.2,1
-5.0,118.7,96.1,116.5,86.4,1
-3.0,118.7,96.1,112.4,96.4,1
-2.0,118.7,96.1,118.9,99.9,1
-10.0,118.7,96.1,101.7,103.6,0
-4.5,118.7,96.1,111.8,105.0,1
-14.0,118.7,96.1,112.5,106.7,1
+3.5,111.1,96.6,114.8,95.0,0
+2.0,118.0,88.1,118.0,86.5,0
+1.0,112.7,89.3,117.9,89.7,0
+2.0,112.7,89.3,109.8,87.8,1
