Team,Opponent,Spread,TeamOeff,TeamDeff,OppOeff2,OppDeff2,Result
1423,1456,-6.0,118.0,105.5,111.9,109.7,0
1423,1241,-10.0,118.0,105.5,98.8,104.1,1
1423,1180,-18.0,118.0,105.5,102.9,110.1,1
1423,1158,-3.5,118.0,105.5,106.2,98.9,1
1423,1220,-13.5,118.0,105.5,111.1,112.4,1
1423,1456,-11.5,118.0,105.5,111.9,109.7,1
1423,1174,-14.5,118.0,105.5,97.3,108.5,1
1423,1180,-12.0,118.0,105.5,102.9,110.1,1
1423,1189,-12.0,118.0,105.5,104.4,102.2,1
1423,1158,-8.0,110.7,101.5,98.6,94.4,1
1423,1241,-3.5,110.7,101.5,108.1,99.6,1
1423,1180,-6.5,110.7,101.5,99.5,106.7,1
1423,1174,-14.5,110.7,101.5,101.5,111.7,1
1423,1456,-5.0,110.7,101.5,113.3,104.5,1
1423,1189,-4.0,110.7,101.5,106.6,106.4,1
1423,1174,-6.5,110.7,101.5,101.5,111.7,1
1423,1406,-3.0,110.7,101.5,105.4,104.4,0
1423,1318,-6.5,110.7,101.5,107.0,103.7,0
1423,1180,-1.5,101.5,102.4,99.3,106.5,0
1423,1189,-5.0,101.5,102.4,98.5,105.7,1
1423,1406,-6.0,101.5,102.4,100.9,109.3,1
1423,1444,-6.0,118.0,105.5,107.1,106.8,1
1423,1405,-4.5,118.0,105.5,108.8,106.1,1
1423,1191,-7.0,118.0,105.5,104.1,103.2,1
1423,1292,-5.0,118.0,105.5,112.2,97.2,0
1423,1190,-3.5,118.0,105.5,108.0,96.9,1
1423,1184,-8.0,118.0,105.5,98.4,107.9,1
1423,1190,-1.5,110.7,101.5,107.7,106.8,1
1423,1444,-5.5,110.7,101.5,103.7,105.4,1
1423,1184,-6.0,110.7,101.5,107.4,111.0,1
1423,1172,-11.5,101.5,102.4,119.7,104.7,0
1423,1440,-4.5,101.5,102.4,98.4,109.2,1
1423,1422,-2.0,101.5,102.4,99.8,109.5,1
1423,1330,-13.5,101.5,102.4,106.5,96.3,0
1423,1267,-5.5,96.0,105.7,99.9,105.7,0
1423,1443,-8.0,96.0,105.7,101.1,102.1,0
1423,1235,-18.0,96.0,105.7,118.9,97.8,0
1423,1234,-24.5,96.0,105.7,120.2,99.8,0
1423,1406,-3.5,118.0,105.5,105.5,101.2,1
1423,1155,-9.0,118.0,105.5,114.9,100.5,0
1423,1187,-13.5,118.0,105.5,97.0,98.5,1
1423,1382,-3.5,118.0,105.5,109.0,101.8,1
1423,1180,-13.5,110.7,101.5,99.5,106.7,1
1423,1282,-8.5,110.7,101.5,103.2,110.7,1
1423,1430,-14.5,110.7,101.5,99.6,110.3,1
1423,1187,-3.5,110.7,101.5,103.2,105.9,0
1423,,-10.5,110.7,101.5,109.2,96.0,0
1423,1325,-7.5,101.5,102.4,103.0,108.5,0
1423,1278,-20.0,101.5,102.4,112.7,99.7,0
1423,1187,-3.5,101.5,102.4,103.7,108.6,1
1423,1257,-28.5,101.5,102.4,110.2,88.9,0
1423,1314,-21.0,96.0,105.7,112.6,94.2,0
1423,1318,-12.0,118.0,105.5,107.0,106.4,1
1423,1406,-9.5,118.0,105.5,105.5,101.2,1
1423,1220,-4.5,118.0,105.5,111.1,112.4,1
1423,1318,-4.5,118.0,105.5,107.0,106.4,1
1423,1189,-6.5,118.0,105.5,104.4,102.2,0
1423,1241,-15.0,118.0,105.5,98.8,104.1,1
1423,1174,-21.5,118.0,105.5,97.3,108.5,1
1423,1406,-7.0,110.7,101.5,105.4,104.4,1
1423,1220,-3.5,110.7,101.5,111.6,103.2,0
1423,1158,-1.5,110.7,101.5,98.6,94.4,1
1423,1456,-4.0,110.7,101.5,113.3,104.5,0
1423,1241,-9.5,110.7,101.5,108.1,99.6,1
1423,1189,-11.5,110.7,101.5,106.6,106.4,1
1423,1318,-3.5,110.7,101.5,107.0,103.7,1
1423,1220,-3.5,110.7,101.5,111.6,103.2,1
1423,1189,-3.5,101.5,102.4,98.5,105.7,0
1423,1241,-3.5,101.5,102.4,105.5,108.2,1
1423,1406,-1.0,101.5,102.4,100.9,109.3,1
1423,1174,-1.5,101.5,102.4,101.7,109.6,0
1423,1318,-1.0,101.5,102.4,108.3,103.1,1
1423,1158,-5.5,101.5,102.4,96.1,105.5,1
1423,1438,-7.5,118.0,105.5,112.2,88.0,0
1423,1158,-2.5,118.0,105.5,106.2,98.9,1
1423,1456,-5.0,118.0,105.5,111.9,109.7,1
1423,1174,-15.0,118.0,105.5,97.3,108.5,1
1423,1181,-10.0,110.7,101.5,121.9,100.0,0
1423,1220,-2.0,110.7,101.5,111.6,103.2,1
1423,1318,-3.0,110.7,101.5,107.0,103.7,1
1423,1158,-5.0,110.7,101.5,98.6,94.4,1
1423,1358,-7.5,101.5,102.4,103.4,96.5,0
1423,1318,+3.5,101.5,102.4,108.3,103.1,0
1423,1158,-6.0,101.5,102.4,96.1,105.5,1
1423,1220,-2.0,96.0,105.7,105.1,113.2,0
1423,1180,-13.0,97.1,108.9,102.1,102.0,0
