Spread,Oeff1,Deff1,Oeff2,Deff2,Result
-2.5,104.2,111.1,103.0,107.4,1
-7.0,103.5,104.7,99.0,105.5,0
-5.5,103.5,104.7,99.1,109.7,1
-8.0,103.5,104.7,96.0,104.6,1
-14.0,103.5,104.7,111.3,95.7,0
-4.5,104.2,111.1,102.6,110.1,0
+6.0,104.2,111.1,107.0,101.7,0
-14.0,100.6,116.6,113.9,115.0,0
-3.5,103.5,104.7,NaN,NaN,0
-5.5,103.5,104.7,105.5,108.2,1
-5.5,103.5,104.7,108.4,106.2,0
-4.5,103.5,104.7,101.6,103.6,1
-14.5,103.5,104.7,93.7,114.3,1
-4.0,105.0,104.9,110.6,107.2,0
-8.0,105.0,104.9,110.8,102.4,0
-9.5,105.0,104.9,103.3,111.1,1
-7.0,103.0,105.3,104.0,100.1,0
-6.0,103.0,105.3,95.8,107.9,1
-9.0,103.1,99.9,102.0,95.9,0
+2.0,103.1,99.9,105.5,100.2,1
-5.5,103.1,99.9,105.2,106.1,0
