Team,Opponent,Spread,TeamOeff,TeamDeff,OppOeff2,OppDeff2,Result
1433,1173,-5.0,110.1,96.0,111.9,96.3,1
1433,1247,-7.0,110.1,96.0,110.6,108.7,1
1433,1200,-10.5,110.1,96.0,97.0,100.0,0
1433,1172,-2.5,110.1,96.0,108.4,100.7,0
1433,1203,-11.5,110.1,96.0,107.7,105.3,1
1433,1269,-11.0,110.1,96.0,100.6,100.0,1
1433,1182,-10.5,110.1,96.0,101.9,107.3,1
1433,1172,-1.5,112.1,95.0,114.3,107.6,1
1433,1382,-10.5,112.1,95.0,113.7,105.1,1
1433,1182,-15.0,112.1,95.0,107.6,106.9,1
1433,1350,-1.5,112.1,95.0,113.6,105.9,1
1433,1200,-13.0,112.1,95.0,102.3,102.4,1
1433,1387,-9.0,112.1,95.0,96.9,102.4,1
1433,1386,-1.0,112.1,95.0,114.3,98.9,1
1433,1206,-14.5,112.1,95.0,101.5,104.8,1
1433,1350,-9.5,111.1,94.9,108.6,96.8,0
1433,1203,-7.5,111.1,94.9,108.4,98.2,1
1433,1387,-12.5,111.1,94.9,95.9,105.8,1
1433,1182,-14.5,111.1,94.9,108.6,112.9,1
1433,1348,-4.5,111.1,94.9,103.9,92.2,1
1433,1386,-15.5,111.1,94.9,100.3,100.0,1
1433,1172,-10.5,111.1,94.9,119.7,104.7,1
1433,1343,-6.0,110.1,96.0,109.0,96.4,1
1433,1261,-7.5,110.1,96.0,109.7,109.9,1
1433,1385,-7.0,110.1,96.0,109.0,102.7,1
1433,1124,-4.0,110.1,96.0,117.1,92.9,0
1433,1421,-15.5,110.1,96.0,107.4,102.5,1
1433,1330,-7.5,112.1,95.0,107.0,99.5,1
1433,1458,+1.5,112.1,95.0,110.1,93.6,0
1433,1181,+10.0,112.1,95.0,121.9,100.0,0
1433,1330,-6.0,111.1,94.9,106.5,96.3,0
1433,1332,-5.0,111.1,94.9,115.2,101.3,1
1433,1437,-2.0,111.1,94.9,122.7,92.0,0
1433,1405,-11.0,111.1,94.9,113.3,105.8,1
1433,1397,-8.0,111.1,94.9,109.5,102.3,1
1433,1318,-15.5,109.2,89.4,101.4,104.5,1
1433,,-2.0,109.2,89.4,110.2,105.0,0
1433,1253,-18.5,109.2,89.4,104.9,102.7,1
1433,1199,-8.0,109.2,89.4,112.2,97.4,0
1433,1206,-4.0,110.1,96.0,107.3,104.2,1
1433,1224,-24.5,110.1,96.0,90.4,110.2,1
1433,1419,-20.0,110.1,96.0,NaN,NaN,1
1433,1292,-4.0,110.1,96.0,112.2,97.2,1
1433,1330,-3.0,110.1,96.0,100.7,97.2,1
1433,1210,-15.0,110.1,96.0,100.0,91.0,0
1433,1228,-6.5,110.1,96.0,107.2,95.8,0
1433,1138,-13.0,112.1,95.0,105.9,102.9,1
1433,1153,+1.5,112.1,95.0,111.2,94.1,0
1433,1210,-2.0,112.1,95.0,113.8,99.6,0
1433,1199,-1.0,112.1,95.0,113.1,98.9,0
1433,1292,-4.5,112.1,95.0,104.6,99.9,1
1433,1156,-14.5,111.1,94.9,108.3,100.9,1
1433,1190,-19.0,111.1,94.9,103.2,107.5,1
1433,1153,-2.0,111.1,94.9,108.2,94.0,1
1433,1125,-14.5,111.1,94.9,110.2,107.9,1
1433,1320,-7.0,111.1,94.9,116.3,95.3,1
1433,1438,-1.5,111.1,94.9,115.6,85.5,0
1433,1229,-5.0,111.1,94.9,107.7,96.1,1
1433,1130,-7.0,109.2,89.4,114.3,111.8,1
1433,1439,-10.5,109.2,89.4,100.1,100.8,1
1433,1348,-3.5,110.1,96.0,111.5,95.2,0
1433,1387,-20.0,110.1,96.0,95.4,105.0,1
1433,1350,-5.5,110.1,96.0,110.0,102.8,1
1433,1386,-15.5,110.1,96.0,102.2,103.3,1
1433,1172,-7.5,110.1,96.0,108.4,100.7,1
1433,1203,-6.0,110.1,96.0,107.7,105.3,1
1433,1382,-1.0,110.1,96.0,109.0,101.8,1
1433,1350,-10.0,110.1,96.0,110.0,102.8,1
1433,1203,-1.5,112.1,95.0,114.8,101.0,1
1433,1206,-11.0,112.1,95.0,101.5,104.8,0
