Spread,Oeff1,Deff1,Oeff2,Deff2,Result
-3.5,107.1,106.0,103.6,109.1,1
-1.5,107.1,106.0,108.6,107.9,1
-8.5,107.1,106.0,100.2,110.6,1
-2.0,107.1,106.0,103.4,109.6,0
-5.0,107.1,106.0,107.4,101.3,1
-10.5,107.1,106.0,102.7,110.1,1
-11.0,107.1,106.0,93.9,109.5,1
-11.0,107.1,106.0,110.1,99.9,0
+2.0,107.1,106.0,104.5,100.8,0
-3.5,107.1,106.0,101.5,107.7,1
+4.0,107.1,106.0,110.2,107.4,0
-8.0,107.1,106.0,103.6,109.1,0
-8.0,107.1,106.0,105.7,114.5,1
-11.0,107.1,106.0,109.0,98.0,0
-2.0,107.1,106.0,109.5,105.8,0
-5.5,107.1,106.0,108.3,104.8,0
-4.5,107.1,106.0,100.2,110.6,1
-3.0,107.1,106.0,108.6,107.9,1
-2.5,107.1,106.0,107.4,101.3,1
-10.5,107.1,106.0,103.4,109.6,1
-6.5,107.1,106.0,93.9,109.5,1
-4.5,107.1,106.0,102.7,110.1,1
+2.0,107.1,106.0,107.4,101.3,0
-3.5,107.1,106.0,102.4,111.6,1
-8.5,107.1,106.0,110.1,99.3,0
