Spread,Oeff1,Deff1,Oeff2,Deff2,Result
-2.0,116.5,89.4,119.7,96.3,1
-15.0,116.5,89.4,108.7,97.3,1
-3.0,116.5,89.4,121.9,94.5,1
-3.5,116.5,89.4,113.0,95.6,0
-16.5,116.5,89.4,107.4,95.9,0
-11.0,116.5,89.4,104.2,93.7,1
-5.5,116.5,89.4,117.1,92.9,1
-13.0,116.5,89.4,114.5,97.0,1
-2.0,116.5,89.4,112.6,97.5,0
-1.5,115.3,90.9,110.5,93.9,0
-10.5,115.3,90.9,108.8,95.4,1
-3.5,115.3,90.9,113.2,99.4,1
-12.0,115.3,90.9,113.0,96.8,0
-4.5,115.3,90.9,117.9,94.1,0
+1.0,115.3,90.9,120.0,90.4,1
-14.5,115.3,90.9,106.4,98.6,1
-11.0,115.3,90.9,101.6,98.5,1
-4.5,115.3,90.9,108.8,95.4,1
-18.0,112.6,94.9,102.3,101.3,1
-1.0,112.6,94.9,106.6,98.4,1
-10.0,112.6,94.9,108.8,96.6,1
-29.0,116.5,89.4,97.0,107.6,1
-12.5,116.5,89.4,108.3,104.3,0
-8.5,116.5,89.4,107.2,95.8,1
-23.5,116.5,89.4,102.3,103.2,1
-2.5,115.3,90.9,111.4,101.8,1
-7.0,115.3,90.9,113.6,105.9,1
-11.5,115.3,90.9,108.1,99.6,1
-23.5,115.3,90.9,100.7,108.4,1
-14.0,112.6,94.9,96.1,105.5,1
-22.5,112.6,94.9,98.4,109.2,1
-4.0,112.6,94.9,107.7,97.7,1
-9.0,112.6,94.9,107.9,102.3,1
-10.0,112.6,94.9,102.9,106.0,1
-16.0,112.6,94.9,100.8,102.1,1
-6.5,115.5,103.2,122.0,96.1,0
-7.5,115.5,103.2,100.7,101.4,1
-3.0,116.5,89.4,126.0,103.5,1
-26.0,116.5,89.4,106.8,104.9,1
-32.5,116.5,89.4,103.0,107.4,1
-37.0,116.5,89.4,97.6,113.8,1
-35.0,116.5,89.4,90.0,105.1,1
-8.0,116.5,89.4,112.2,88.0,1
-8.0,115.3,90.9,110.6,98.9,1
-26.0,115.3,90.9,107.4,111.0,1
-20.5,115.3,90.9,111.0,109.1,1
-21.5,115.3,90.9,NaN,NaN,1
-4.5,115.3,90.9,120.6,91.0,0
-17.0,112.6,94.9,106.3,107.2,1
-13.0,112.6,94.9,105.2,98.5,1
-3.0,112.6,94.9,114.9,98.9,1
-17.5,112.6,94.9,96.3,104.3,1
-9.0,112.6,94.9,108.9,95.1,0
-10.0,115.5,103.2,112.6,112.4,1
-5.5,115.5,103.2,108.4,100.5,0
-9.0,115.5,103.2,99.9,105.7,1
+2.5,115.5,103.2,114.0,93.8,0
-6.5,115.5,103.2,114.1,103.2,0
-1.5,116.5,89.4,117.1,92.9,0
-5.0,116.5,89.4,114.5,97.0,1
-15.0,116.5,89.4,104.2,93.7,1
-10.0,116.5,89.4,112.6,97.5,1
-5.0,116.5,89.4,121.9,94.5,0
-7.5,116.5,89.4,113.0,95.6,1
-6.5,116.5,89.4,107.4,95.9,1
-10.5,116.5,89.4,126.0,103.5,0
-7.5,115.3,90.9,106.4,98.6,1
-6.0,115.3,90.9,121.2,100.3,1
-4.0,115.3,90.9,117.9,94.1,0
-2.0,115.3,90.9,113.0,96.8,0
-18.0,115.3,90.9,101.6,98.5,1
-7.0,115.3,90.9,120.0,90.4,0
-6.0,115.3,90.9,118.9,99.8,1
-5.0,115.3,90.9,121.2,100.3,1
-5.0,112.6,94.9,116.6,94.5,0
-3.5,112.6,94.9,112.4,93.4,1
-4.5,112.6,94.9,111.8,96.8,1
+1.5,112.6,94.9,114.5,91.8,1
-7.0,112.6,94.9,119.0,97.5,0
-11.0,112.6,94.9,106.6,98.4,1
-3.0,116.5,89.4,118.4,86.3,0
-3.0,116.5,89.4,118.1,98.4,1
-13.0,116.5,89.4,109.7,100.3,1
-4.0,116.5,89.4,119.7,96.3,0
-5.5,116.5,89.4,113.0,95.6,1
-10.5,116.5,89.4,104.2,93.7,1
-8.0,116.5,89.4,119.7,96.3,1
-7.0,115.3,90.9,112.2,96.6,0
-5.0,115.3,90.9,120.0,90.4,0
-1.0,115.3,90.9,117.9,94.1,1
-16.5,115.3,90.9,101.6,98.5,1
-3.0,115.3,90.9,118.9,99.8,1
-10.0,115.3,90.9,113.2,99.4,1
-12.5,112.6,94.9,121.3,84.4,0
-1.5,112.6,94.9,111.3,95.7,1
-4.5,112.6,94.9,111.3,99.4,1
-4.0,112.6,94.9,116.6,94.5,0
-5.5,112.6,94.9,111.8,96.8,1
-9.5,112.6,94.9,114.5,91.8,0
-4.0,115.5,103.2,110.2,105.0,0
-3.5,115.5,103.2,111.8,97.3,0
+5.0,115.5,103.2,119.3,94.7,1
-8.0,115.5,103.2,117.9,100.0,0
-16.0,115.5,103.2,99.4,103.7,1
-8.5,105.0,100.8,100.5,107.1,0
+2.5,105.0,100.8,117.5,99.8,0
-3.0,117.2,91.7,121.0,87.7,0
