Spread,Oeff1,Deff1,Oeff2,Deff2,Result
-4.0,120.7,99.0,106.7,96.6,1
-7.0,120.7,99.0,119.3,105.6,1
-3.0,120.7,99.0,116.3,99.0,1
-11.5,120.7,99.0,106.7,96.6,1
-3.5,120.7,99.0,116.4,99.2,1
-9.5,120.7,99.0,127.4,96.0,0
-5.5,120.7,99.0,108.9,97.0,0
-6.5,120.7,99.0,115.7,97.9,1
-4.5,120.7,99.0,111.2,95.0,1
-6.5,120.7,99.0,117.6,102.9,0
-18.0,120.7,99.0,103.7,106.4,1
-31.5,120.7,99.0,101.7,109.3,1
-3.5,120.7,99.0,110.0,99.4,1
-24.0,120.7,99.0,109.3,106.8,1
-27.5,120.7,99.0,99.3,109.4,1
-14.0,120.7,99.0,104.7,98.0,1
-3.0,120.7,99.0,119.3,105.6,1
-6.0,120.7,99.0,103.3,99.1,1
-19.5,120.7,99.0,109.3,103.9,1
-21.0,120.7,99.0,105.5,98.0,1
-16.5,120.7,99.0,105.4,99.7,1
-23.5,120.7,99.0,102.4,106.9,1
-2.5,120.7,99.0,113.1,86.1,1
-10.5,120.7,99.0,108.9,97.0,1
-5.5,120.7,99.0,113.5,102.1,1
+1.0,120.7,99.0,127.4,96.0,0
-6.5,120.7,99.0,116.3,99.0,1
-2.5,120.7,99.0,116.4,99.2,1
-4.5,120.7,99.0,115.7,97.9,1
-14.0,120.7,99.0,113.5,102.1,1
-7.0,120.7,99.0,108.9,97.0,0
-6.5,120.7,99.0,106.7,96.6,1
-7.5,120.7,99.0,104.7,98.0,1
