Spread,Oeff1,Deff1,Oeff2,Deff2,Result
-5.5,101.4,116.5,99.8,109.1,0
-8.0,101.4,116.5,100.1,103.9,0
+3.0,101.4,116.5,NaN,NaN,0
-11.5,101.4,116.5,101.0,98.2,0
-4.5,101.4,116.5,102.6,117.2,0
-15.5,101.4,116.5,107.3,108.1,0
-1.5,101.4,116.5,99.8,109.1,1
+7.0,101.4,116.5,100.1,103.9,1
-7.5,101.4,116.5,97.8,110.5,1
-14.5,101.4,116.5,110.0,98.8,0
-2.0,101.4,116.5,105.7,110.6,0
+5.0,101.4,116.5,107.4,101.3,0
-7.5,101.4,116.5,107.8,104.3,0
+5.0,101.4,116.5,102.4,106.9,0
-23.5,101.4,116.5,109.7,99.3,0
-18.5,101.4,116.5,107.5,104.9,0
-4.5,101.4,116.5,103.6,109.1,0
-27.0,101.4,116.5,115.7,97.9,0
-16.0,101.4,116.5,104.7,98.0,0
-3.5,101.4,116.5,97.8,110.5,0
-16.0,101.4,116.5,108.2,100.9,0
-3.5,101.4,116.5,102.6,117.2,0
+5.0,101.4,116.5,107.3,108.1,1
-5.5,101.4,116.5,98.2,109.5,1
-10.0,101.4,116.5,NaN,NaN,0
+7.0,101.4,116.5,101.0,98.2,0
+11.0,101.4,116.5,108.2,100.9,0
-2.0,101.4,116.5,97.8,110.5,0
