Mar 3, 2018,STONY,69,ALBNY,60,L,-9.5,L,133.0,U
Mar 16, 2017,STPET,59,ALBNY,55,L,-1.5,L,121.5,U
Mar 11, 2017,ALBNY,53,VERMT,56,L,-10.5,W,124.5,U
Mar 6, 2017,ALBNY,63,STONY,56,W,+2.5,W,133.5,U
Mar 1, 2017,HARTF,71,ALBNY,100,W,-14.5,W,135.0,O
Mar 16, 2016,ALBNY,90,OHIO,94,L,-3.0,L,150.0,O
Mar 2, 2016,HARTF,68,ALBNY,59,L,-18.0,L,148.0,U
Mar 20, 2015,ALBNY,60,OKLA,69,L,-13.0,W,131.5,U
Mar 14, 2015,STONY,50,ALBNY,51,W,-3.0,L,120.5,U
Mar 8, 2015,NH,58,ALBNY,60,W,-8.5,L,123.0,U
Mar 4, 2015,MAINE,66,ALBNY,83,W,-19.0,L,129.5,O
Mar 20, 2014,ALBNY,55,FLA,67,L,-21.5,W,120.0,O
Mar 18, 2014,MTSTM,64,ALBNY,71,W,-2.0,W,141.0,U
Mar 15, 2014,ALBNY,69,STONY,60,W,-6.5,W,126.5,O
Mar 9, 2014,VERMT,58,ALBNY,67,W,+7.0,W,124.0,O
Mar 8, 2014,UMBC,56,ALBNY,86,W,-10.5,W,131.0,O
Mar 2, 2014,ALBNY,68,STONY,73,L,0.0,,0.0,
Mar 22, 2013,ALBNY,61,DUKE,73,L,-20.0,W,133.5,O
Mar 16, 2013,ALBNY,53,VERMT,49,W,-7.5,W,117.5,U
Mar 10, 2013,STONY,59,ALBNY,61,W,+5.0,W,120.5,U
Mar 9, 2013,MAINE,49,ALBNY,50,W,-9.0,L,133.0,U
Mar 3, 2013,ALBNY,70,STONY,75,L,0.0,,0.0,
Mar 14, 2012,MANHT,89,ALBNY,79,L,+1.5,L,144.0,O
Mar 4, 2012,ALBNY,55,STONY,57,L,-4.0,W,129.5,U
Mar 3, 2012,NH,45,ALBNY,63,W,-5.0,W,128.5,U
Mar 5, 2011,STONY,67,ALBNY,61,L,-2.0,L,116.0,O
Mar 6, 2010,ALBNY,59,STONY,68,L,-7.0,L,128.5,U
Mar 8, 2009,UMBC,64,ALBNY,58,L,0.0,,0.0,
Mar 7, 2009,ALBNY,56,VERMT,52,W,0.0,,0.0,
Mar 1, 2009,ALBNY,64,UMBC,68,L,0.0,,0.0,
