Jan 31, 2018,NAVY,61,AMERN,44,L,0.0,,0.0,
Jan 27, 2018,AMERN,69,COLGT,83,L,0.0,,0.0,
Jan 22, 2018,HOLYC,60,AMERN,57,L,-3.5,L,125.0,U
Jan 20, 2018,LAFAY,62,AMERN,53,L,0.0,,0.0,
Jan 17, 2018,AMERN,69,BOSTU,58,W,0.0,,0.0,
Jan 14, 2018,AMERN,66,LEHIH,76,L,0.0,,0.0,
Jan 11, 2018,LOYMD,65,AMERN,76,W,0.0,,0.0,
Jan 8, 2018,ARMY,58,AMERN,54,L,0.0,,0.0,
Jan 5, 2018,AMERN,64,NAVY,70,L,0.0,,0.0,
Jan 2, 2018,COLGT,72,AMERN,63,L,0.0,,0.0,
Jan 29, 2017,COLGT,70,AMERN,65,L,-3.0,L,124.0,O
Jan 25, 2017,NAVY,71,AMERN,53,L,0.0,,0.0,
Jan 23, 2017,AMERN,55,HOLYC,63,L,-7.5,L,116.5,O
Jan 18, 2017,LAFAY,57,AMERN,71,W,0.0,,0.0,
Jan 14, 2017,ARMY,53,AMERN,49,L,0.0,,0.0,
Jan 11, 2017,AMERN,66,BOSTU,76,L,0.0,,0.0,
Jan 8, 2017,AMERN,73,LEHIH,79,L,0.0,,0.0,
Jan 5, 2017,BUCKN,69,AMERN,60,L,0.0,,0.0,
Jan 2, 2017,AMERN,67,COLGT,64,W,0.0,,0.0,
Jan 30, 2016,AMERN,54,COLGT,49,W,0.0,,0.0,
Jan 27, 2016,AMERN,63,NAVY,58,W,0.0,,0.0,
Jan 20, 2016,AMERN,81,LAFAY,73,W,0.0,,0.0,
Jan 17, 2016,AMERN,45,ARMY,65,L,-14.5,L,132.0,U
Jan 13, 2016,BOSTU,61,AMERN,50,L,0.0,,0.0,
Jan 9, 2016,LEHIH,65,AMERN,50,L,0.0,,0.0,
Jan 6, 2016,AMERN,54,BUCKN,72,L,0.0,,0.0,
Jan 3, 2016,COLGT,56,AMERN,37,L,0.0,,0.0,
Jan 28, 2015,AMERN,54,NAVY,64,L,0.0,,0.0,
Jan 26, 2015,ARMY,68,AMERN,66,L,-5.5,L,122.5,O
Jan 21, 2015,AMERN,54,BOSTU,59,L,0.0,,0.0,
