Dec 30, 2017,ARZST,78,ARIZ,84,W,-6.0,P,163.5,U
Dec 21, 2017,UCONN,58,ARIZ,73,W,-16.0,L,144.0,U
Dec 18, 2017,ND.ST,53,ARIZ,83,W,-22.5,W,141.5,U
Dec 16, 2017,ARIZ,89,NEWMX,73,W,+15.0,W,154.0,O
Dec 9, 2017,ALA,82,ARIZ,88,W,-9.5,L,148.5,O
Dec 5, 2017,TEXAM,64,ARIZ,67,W,+1.0,W,146.5,U
Dec 2, 2017,ARIZ,91,UNLV,88,W,+4.5,L,157.5,O
Dec 30, 2016,ARIZ,67,CAL,62,W,-2.5,W,128.0,O
Dec 20, 2016,NEWMX,46,ARIZ,77,W,-11.0,W,141.0,U
Dec 17, 2016,ARIZ,67,TEXAM,63,W,-3.5,W,130.0,P
Dec 14, 2016,GRCNYN,54,ARIZ,64,W,-16.5,L,143.0,U
Dec 10, 2016,ARIZ,79,MIZZU,60,W,+7.0,W,135.5,O
Dec 6, 2016,UCI,57,ARIZ,79,W,-15.0,W,123.0,O
Dec 3, 2016,GONZG,69,ARIZ,62,L,+4.5,L,139.5,U
Dec 22, 2015,LONGB,70,ARIZ,85,W,-17.0,L,146.5,O
Dec 19, 2015,UNLV,70,ARIZ,82,W,-11.5,W,135.5,O
Dec 16, 2015,NARIZ,37,ARIZ,92,W,-27.5,W,147.5,U
Dec 13, 2015,MIZZU,52,ARIZ,88,W,-16.5,W,137.5,O
Dec 9, 2015,FRSNO,72,ARIZ,85,W,-12.5,W,141.5,O
Dec 5, 2015,ARIZ,68,GONZG,63,W,-7.0,W,139.5,U
Dec 23, 2014,ARIZ,67,UNLV,71,L,+12.5,L,132.0,O
Dec 19, 2014,ARIZ,60,UTEP,55,W,+5.5,L,131.5,U
Dec 16, 2014,OAKLN,64,ARIZ,101,W,-26.0,W,141.5,O
Dec 13, 2014,MICH,53,ARIZ,80,W,-10.5,W,128.5,O
Dec 9, 2014,UTVAL,56,ARIZ,87,W,-27.5,W,124.0,O
Dec 6, 2014,GONZG,63,ARIZ,66,W,-4.5,L,139.5,U
Dec 2, 2014,G.WEB,65,ARIZ,91,W,-23.5,W,142.5,O
Dec 23, 2013,NARIZ,44,ARIZ,77,W,-29.0,W,136.0,U
Dec 19, 2013,SUTHR,43,ARIZ,69,W,0.0,,0.0,
Dec 14, 2013,ARIZ,72,MICH,70,W,-2.5,W,136.5,O
