Mar 9, 2018,ALA,81,AUBRN,63,L,-6.5,L,152.5,U
Mar 3, 2018,S.CAR,70,AUBRN,79,W,-11.0,L,152.0,U
Mar 8, 2017,MIZZU,86,AUBRN,83,L,-7.0,L,153.5,O
Mar 4, 2017,MIZZU,78,AUBRN,89,W,-8.5,W,155.0,O
Mar 1, 2017,AUBRN,78,GA,79,L,-5.0,W,153.5,O
Mar 9, 2016,AUBRN,59,TENN,97,L,-2.5,L,145.0,O
Mar 5, 2016,AUBRN,66,MISST,79,L,-12.0,L,147.0,U
Mar 1, 2016,TEXAM,81,AUBRN,63,L,+11.5,L,144.5,U
Mar 14, 2015,AUBRN,67,KENTY,91,L,-24.0,P,138.0,O
Mar 13, 2015,AUBRN,73,LSU,70,W,-9.5,W,147.0,U
Mar 12, 2015,AUBRN,66,TEXAM,59,W,-8.5,W,135.5,U
Mar 11, 2015,AUBRN,74,MISST,68,W,-2.5,W,132.5,O
Mar 7, 2015,GA,64,AUBRN,61,L,+6.0,W,138.0,U
Mar 3, 2015,AUBRN,61,MIZZU,63,L,-5.0,W,135.5,U
Mar 12, 2014,S.CAR,74,AUBRN,56,L,-3.0,L,144.5,U
Mar 8, 2014,AUBRN,69,TEXAM,64,W,-5.0,W,131.5,O
Mar 5, 2014,TENN,82,AUBRN,54,L,+4.0,L,138.5,U
Mar 1, 2014,AUBRN,57,ALA,73,L,-4.5,L,139.0,U
Mar 13, 2013,AUBRN,62,TEXAM,71,L,-5.0,L,119.5,O
Mar 9, 2013,AUBRN,71,MISST,74,L,+2.0,L,132.0,O
Mar 6, 2013,TENN,82,AUBRN,75,L,+5.0,L,129.5,O
Mar 2, 2013,VANDY,62,AUBRN,55,L,+1.5,L,121.5,U
Mar 8, 2012,AUBRN,54,MISS,68,L,-4.0,L,120.0,O
Mar 3, 2012,LSU,52,AUBRN,67,W,-2.0,W,120.5,U
Mar 10, 2011,AUBRN,51,GA,69,L,-11.5,L,123.0,U
Mar 5, 2011,AUBRN,60,LSU,51,W,-4.5,W,126.0,U
Mar 2, 2011,MISS,73,AUBRN,76,W,+6.5,W,134.0,O
Mar 11, 2010,AUBRN,69,FLA,78,L,-5.5,L,142.0,O
Mar 6, 2010,AUBRN,61,ALA,73,L,-5.0,L,141.5,U
Mar 3, 2010,MISST,80,AUBRN,89,W,+2.0,W,146.5,O
