Mar 11, 2018,FULLR,71,UCI,55,W,-2.5,W,128.5,U
Mar 9, 2018,FULLR,55,UCDAV,52,W,-1.0,W,136.5,U
Mar 8, 2018,LONGB,74,FULLR,76,W,-1.5,W,151.0,U
Mar 3, 2018,HAWAI,68,FULLR,60,L,-5.5,L,140.5,U
Mar 16, 2017,WEBER,80,FULLR,76,L,-2.5,L,148.0,O
Mar 11, 2017,FULLR,64,UCDAV,66,L,-2.0,P,136.5,U
Mar 9, 2017,CSNOR,68,FULLR,81,W,-3.0,W,151.5,U
Mar 4, 2017,FULLR,86,CSNOR,78,W,-3.0,W,153.5,O
Mar 2, 2017,SABAR,54,FULLR,65,W,-10.5,W,129.5,U
Mar 10, 2016,FULLR,44,HAWAI,75,L,-10.5,L,146.5,U
Mar 2, 2016,LONGB,75,FULLR,73,L,+5.5,W,149.5,U
Mar 7, 2015,HAWAI,91,FULLR,70,L,+4.5,L,144.5,O
Mar 5, 2015,FULLR,62,UCI,68,L,-13.5,W,133.5,U
Mar 13, 2014,FULLR,56,LONGB,66,L,-7.0,L,138.5,U
Mar 8, 2014,FULLR,77,HAWAI,81,L,-12.0,W,148.5,O
Mar 6, 2014,UCI,62,FULLR,44,L,+5.5,L,137.5,U
Mar 1, 2014,LONGB,76,FULLR,84,W,+4.5,W,140.5,O
Mar 14, 2013,FULLR,66,LONGB,75,L,-7.5,L,145.5,U
Mar 9, 2013,FULLR,60,CALPO,62,L,-9.5,W,141.5,U
Mar 7, 2013,FULLR,50,SABAR,66,L,-5.5,L,139.5,U
Mar 2, 2013,UCDAV,71,FULLR,68,L,+1.0,L,154.5,U
Mar 14, 2012,FULLR,79,LOYMA,88,L,-6.5,L,147.5,O
Mar 8, 2012,UCI,65,FULLR,59,L,-7.5,L,154.5,U
Mar 3, 2012,LONGB,74,FULLR,77,W,+5.0,W,154.0,U
Mar 10, 2011,FULLR,54,CSNOR,75,L,-1.5,L,148.5,U
Mar 5, 2011,FULLR,87,UCDAV,82,W,-3.5,W,154.0,O
Mar 3, 2011,FULLR,82,PACIF,80,W,-12.5,W,135.0,O
Mar 11, 2010,FULLR,65,UCDAV,68,L,+2.0,L,143.5,U
Mar 10, 2010,CSNOR,76,FULLR,84,W,-2.0,W,144.0,O
Mar 6, 2010,UCDAV,92,FULLR,86,L,-6.5,L,147.5,O
