Mar 6, 2018,COPIN,48,NCCEN,60,L,-6.5,L,126.5,U
Mar 1, 2018,HOWRD,78,COPIN,71,L,0.0,,0.0,
Mar 6, 2017,HOWRD,79,COPIN,73,L,+2.5,L,138.5,O
Mar 2, 2017,HAMPT,89,COPIN,82,L,0.0,,0.0,
Mar 10, 2016,COPIN,80,SC.ST,90,L,-5.5,L,143.0,O
Mar 7, 2016,COPIN,98,NCA&T,91,W,-1.5,W,141.0,O
Mar 3, 2016,COPIN,72,DELST,62,W,0.0,,0.0,
Mar 11, 2015,COPIN,43,NCCEN,91,L,-14.5,L,140.0,U
Mar 10, 2015,COPIN,64,BCOOK,60,W,+2.5,W,143.0,U
Mar 5, 2015,DELST,104,COPIN,92,L,0.0,,0.0,
Mar 14, 2014,COPIN,64,MORGN,79,L,-4.0,L,147.0,U
Mar 12, 2014,COPIN,83,HAMPT,77,W,-7.0,W,145.5,O
Mar 11, 2014,BCOOK,68,COPIN,75,W,-4.5,W,135.0,O
Mar 3, 2014,HOWRD,69,COPIN,86,W,0.0,,0.0,
Mar 1, 2014,MD-ES,68,COPIN,67,L,0.0,,0.0,
Mar 12, 2013,COPIN,78,BCOOK,89,L,-5.5,L,131.5,O
Mar 7, 2013,BCOOK,61,COPIN,69,W,0.0,,0.0,
Mar 4, 2013,MD-ES,60,COPIN,63,W,0.0,,0.0,
Mar 6, 2012,FLA&M,74,COPIN,72,L,-6.0,L,153.0,U
Mar 1, 2012,COPIN,80,BCOOK,88,L,0.0,,0.0,
Mar 10, 2011,NORFK,55,COPIN,53,L,-2.5,L,148.5,U
Mar 3, 2011,MORGN,60,COPIN,73,W,0.0,,0.0,
Mar 10, 2010,COPIN,58,MD-ES,64,L,+1.0,L,125.0,U
Mar 4, 2010,COPIN,54,MORGN,74,L,0.0,,0.0,
Mar 1, 2010,NORFK,67,COPIN,57,L,0.0,,0.0,
Mar 13, 2009,COPIN,67,MORGN,75,L,0.0,,0.0,
Mar 12, 2009,COPIN,66,NCA&T,63,W,0.0,,0.0,
Mar 5, 2009,MORGN,68,COPIN,62,L,0.0,,0.0,
Mar 18, 2008,COPIN,60,MTSTM,69,L,-7.0,L,124.5,O
Mar 15, 2008,COPIN,62,MORGN,60,W,-6.5,W,117.5,O
