Feb 28, 2018,E.ILL,73,TN.ST,71,W,-3.0,W,128.0,O
Feb 24, 2018,SIUED,56,E.ILL,68,W,-6.0,W,140.5,U
Feb 22, 2018,MURRAY,76,E.ILL,66,L,+9.0,L,138.5,O
Feb 17, 2018,E.ILL,64,TNMAR,57,W,-2.0,W,132.5,U
Feb 15, 2018,E.ILL,73,SEMIZ,80,L,-3.5,L,146.0,O
Feb 10, 2018,APEAY,76,E.ILL,69,L,+2.0,L,136.5,O
Feb 8, 2018,E.ILL,78,SIUED,74,W,-2.5,W,137.5,O
Feb 3, 2018,TNTEC,71,E.ILL,79,W,-1.0,W,135.0,O
Feb 1, 2018,JAXST,75,E.ILL,56,L,+5.5,L,130.0,O
Feb 25, 2017,E.ILL,59,SIUED,78,L,+6.0,L,143.0,U
Feb 18, 2017,E.ILL,82,MURRAY,65,W,-7.5,W,152.0,U
Feb 16, 2017,E.ILL,80,APEAY,85,L,+2.0,L,153.5,O
Feb 11, 2017,SEMIZ,80,E.ILL,86,W,-4.5,W,145.5,O
Feb 9, 2017,TNMAR,71,E.ILL,81,W,+1.5,W,148.5,O
Feb 4, 2017,TNTEC,87,E.ILL,68,L,-6.0,L,143.0,O
Feb 2, 2017,E.ILL,77,TN.ST,67,W,-6.5,W,138.5,O
Feb 25, 2016,MURRAY,74,E.ILL,85,W,+5.0,W,136.5,O
Feb 20, 2016,E.ILL,71,SEMIZ,68,W,+4.0,L,144.5,U
Feb 18, 2016,E.ILL,84,TNMAR,87,L,-7.0,W,142.0,O
Feb 13, 2016,SIUED,72,E.ILL,64,L,-6.5,L,133.0,O
Feb 10, 2016,APEAY,79,E.ILL,70,L,-2.5,L,144.5,O
Feb 6, 2016,SEMIZ,69,E.ILL,78,W,-10.0,L,141.5,O
Feb 1, 2016,STAMB,59,E.ILL,101,W,0.0,,0.0,
Feb 26, 2015,E.ILL,57,MURRAY,65,L,-13.5,W,135.5,U
Feb 22, 2015,SEMIZ,65,E.ILL,73,W,-3.5,W,128.5,O
Feb 19, 2015,TNMAR,75,E.ILL,73,L,-2.0,L,123.5,O
Feb 14, 2015,E.ILL,63,SIUED,80,L,-3.0,L,122.5,O
Feb 12, 2015,E.ILL,66,APEAY,55,W,-2.0,W,130.0,U
Feb 7, 2015,E.ILL,64,SEMIZ,68,L,-5.5,W,124.5,O
Feb 3, 2015,BAKER,32,E.ILL,59,W,0.0,,0.0,
