Dec 31, 2017,FLATK,54,FLAGC,62,W,0.0,,0.0,
Dec 29, 2017,FLMEM,42,FLAGC,76,W,0.0,,0.0,
Dec 27, 2017,FLAGC,60,RHODEI,80,L,-13.0,L,153.5,U
Dec 22, 2017,FLAGC,65,WICHI,75,L,-17.0,W,159.5,U
Dec 19, 2017,FLAGC,88,FLAIN,91,L,0.0,,0.0,
Dec 16, 2017,ORALR,83,FLAGC,64,L,0.0,,0.0,
Dec 9, 2017,FLAGC,85,TEXAR,78,W,0.0,,0.0,
Dec 5, 2017,FLAAT,92,FLAGC,88,L,0.0,,0.0,
Dec 2, 2017,MIDTN,81,FLAGC,76,L,0.0,,0.0,
Dec 31, 2016,FLATK,49,FLAGC,101,W,0.0,,0.0,
Dec 28, 2016,FLAGC,75,FLAAT,62,W,0.0,,0.0,
Dec 22, 2016,FLANAT,50,FLAGC,107,W,0.0,,0.0,
Dec 20, 2016,FLAGC,79,LATEC,78,W,0.0,,0.0,
Dec 17, 2016,FLAGC,80,LASAL,84,L,-5.0,W,151.5,O
Dec 13, 2016,GASOU,72,FLAGC,59,L,0.0,,0.0,
Dec 11, 2016,FLAIN,63,FLAGC,82,W,0.0,,0.0,
Dec 9, 2016,SIENA,69,FLAGC,73,W,0.0,,0.0,
Dec 4, 2016,FLAGC,85,GASOU,82,W,0.0,,0.0,
Dec 31, 2015,LASAL,77,FLAGC,86,W,0.0,,0.0,
Dec 28, 2015,FLAGC,81,SDKOTA,89,L,0.0,,0.0,
Dec 22, 2015,LATEC,66,FLAGC,63,L,0.0,,0.0,
Dec 19, 2015,SD.ST,56,FLAGC,52,L,0.0,,0.0,
Dec 13, 2015,UMASS,76,FLAGC,77,W,0.0,,0.0,
Dec 6, 2015,FLAGC,84,FLAIN,76,W,0.0,,0.0,
Dec 2, 2015,FLAGC,65,TEXAM,75,L,0.0,,0.0,
Dec 30, 2014,FLAGC,54,PITT,71,L,0.0,,0.0,
Dec 28, 2014,FLAGC,57,XAVIR,71,L,-15.0,W,141.0,U
Dec 23, 2014,FLAGC,67,IONA,86,L,0.0,,0.0,
Dec 19, 2014,FURMN,78,FLAGC,83,W,0.0,,0.0,
Dec 14, 2014,FLAIN,69,FLAGC,63,L,0.0,,0.0,
