Dec 30, 2017,VANDY,74,FLA,81,W,-9.5,L,142.0,O
Dec 22, 2017,INCAR,60,FLA,75,W,0.0,,0.0,
Dec 20, 2017,JMU,63,FLA,72,W,-21.0,L,147.5,U
Dec 16, 2017,CLEMS,71,FLA,69,L,-6.5,L,144.5,U
Dec 9, 2017,CINCY,60,FLA,66,W,+1.5,W,148.0,U
Dec 6, 2017,LOYCH,65,FLA,59,L,-16.5,L,151.0,U
Dec 4, 2017,FLAST,83,FLA,66,L,-9.0,L,164.0,U
Dec 29, 2016,FLA,81,ARK,72,W,+1.5,W,149.0,O
Dec 21, 2016,ARKLR,71,FLA,94,W,-19.0,W,134.5,O
Dec 17, 2016,CHARL,46,FLA,87,W,-19.5,W,151.5,U
Dec 11, 2016,FLA,78,FLAST,83,L,-3.0,L,148.0,O
Dec 6, 2016,FLA,74,DUKE,84,L,-7.5,L,146.5,O
Dec 1, 2016,FLA,91,N.FLA,60,W,0.0,,0.0,
Dec 29, 2015,FLAST,73,FLA,71,L,-5.0,L,138.0,O
Dec 22, 2015,JAXVL,65,FLA,89,W,0.0,,0.0,
Dec 19, 2015,OKST,70,FLA,72,W,-9.5,L,128.5,O
Dec 12, 2015,FLA,52,MICHS,58,L,-9.5,W,135.5,U
Dec 8, 2015,FLA,55,MIAMI,66,L,-6.0,L,141.5,U
Dec 1, 2015,RICHM,56,FLA,76,W,-8.5,W,146.5,U
Dec 30, 2014,FLA,63,FLAST,65,L,+7.0,L,126.5,O
Dec 20, 2014,WAKE,50,FLA,63,W,-14.0,L,124.5,U
Dec 14, 2014,JAXVL,34,FLA,79,W,0.0,,0.0,
Dec 12, 2014,TEXSO,50,FLA,75,W,-25.5,L,126.5,U
Dec 8, 2014,YALE,47,FLA,85,W,-10.0,W,117.0,O
Dec 5, 2014,FLA,65,KANSA,71,L,-8.0,W,127.0,O
Dec 29, 2013,SAVAN,34,FLA,76,W,0.0,,0.0,
Dec 21, 2013,FRSNO,49,FLA,66,W,-17.0,P,137.5,U
Dec 17, 2013,MEMPH,75,FLA,77,W,-3.0,L,138.5,O
Dec 10, 2013,KANSA,61,FLA,67,W,-3.0,W,137.0,U
Dec 2, 2013,FLA,64,UCONN,65,L,-4.0,W,131.5,U
