Dec 30, 2017,AIRFO,59,FRSNO,71,W,-16.0,L,137.0,U
Dec 27, 2017,NEV,80,FRSNO,65,L,+2.0,L,149.0,U
Dec 18, 2017,CSMON,56,FRSNO,93,W,0.0,,0.0,
Dec 16, 2017,OREG,68,FRSNO,61,L,-2.5,L,149.5,U
Dec 13, 2017,ARKPB,52,FRSNO,78,W,0.0,,0.0,
Dec 9, 2017,FRSNO,83,CALPO,63,W,+8.5,W,140.5,O
Dec 5, 2017,CSBAK,55,FRSNO,70,W,0.0,,0.0,
Dec 2, 2017,FRSNO,106,LONGB,70,W,+7.0,W,149.0,O
Dec 31, 2016,NEV,76,FRSNO,77,W,+2.5,W,144.5,O
Dec 28, 2016,FRSNO,73,NEWMX,78,L,-7.5,W,142.5,O
Dec 20, 2016,FRSNO,63,OREG,75,L,-15.5,W,141.5,U
Dec 17, 2016,FRSNO,70,PACIF,68,W,+1.0,W,141.5,U
Dec 14, 2016,HOLYN,54,FRSNO,88,W,0.0,,0.0,
Dec 10, 2016,CALPO,59,FRSNO,73,W,-6.5,W,136.5,U
Dec 6, 2016,FRSNO,81,MARQ,84,L,-19.0,W,154.0,O
Dec 3, 2016,FRSNO,78,DRAKE,76,W,-1.5,W,134.0,O
Dec 30, 2015,FRSNO,69,UNLV,66,W,-8.0,W,144.5,U
Dec 27, 2015,PACUNI,46,FRSNO,89,W,0.0,,0.0,
Dec 20, 2015,EVANS,85,FRSNO,77,L,-2.5,L,147.0,O
Dec 16, 2015,CSBAK,68,FRSNO,76,W,0.0,,0.0,
Dec 12, 2015,PACIF,52,FRSNO,71,W,-9.5,W,144.5,U
Dec 9, 2015,FRSNO,72,ARIZ,85,L,-12.5,L,141.5,O
Dec 5, 2015,FRSNO,65,CALPO,77,L,-1.5,L,145.0,U
Dec 3, 2015,MASTR,72,FRSNO,84,W,0.0,,0.0,
Dec 31, 2014,FRSNO,64,NEWMX,76,L,-9.0,L,0.0,
Dec 28, 2014,STKATH,62,FRSNO,93,W,0.0,,0.0,
Dec 20, 2014,FRSNO,68,PACIF,71,L,-2.5,L,0.0,
Dec 13, 2014,CALPO,57,FRSNO,63,W,-4.5,W,0.0,
Dec 10, 2014,FRSNO,56,TEXTK,73,L,-9.0,L,0.0,
Dec 6, 2014,FRSNO,63,CSBAK,61,W,0.0,,0.0,
