Dec 30, 2017,GRCNYN,58,ILL,62,L,0.0,,0.0,
Dec 27, 2017,MORGN,74,GRCNYN,100,W,0.0,,0.0,
Dec 23, 2017,GRCNYN,56,LOUIS,74,L,0.0,,0.0,
Dec 21, 2017,LONGW,56,GRCNYN,86,W,0.0,,0.0,
Dec 18, 2017,MSVAL,38,GRCNYN,71,W,0.0,,0.0,
Dec 13, 2017,GRCNYN,80,BOISE,85,L,-9.5,W,134.0,O
Dec 11, 2017,NCCEN,59,GRCNYN,64,W,0.0,,0.0,
Dec 9, 2017,GRAMB,53,GRCNYN,87,W,0.0,,0.0,
Dec 5, 2017,STJON,68,GRCNYN,60,L,+5.5,L,144.0,U
Dec 2, 2017,UCRIV,56,GRCNYN,68,W,0.0,,0.0,
Dec 31, 2016,GRCNYN,56,UCRIV,76,L,0.0,,0.0,
Dec 28, 2016,CALPO,64,GRCNYN,71,W,0.0,,0.0,
Dec 22, 2016,ARKPB,49,GRCNYN,89,W,0.0,,0.0,
Dec 20, 2016,ALCRN,53,GRCNYN,63,W,0.0,,0.0,
Dec 17, 2016,MSVAL,62,GRCNYN,72,W,0.0,,0.0,
Dec 14, 2016,GRCNYN,54,ARIZ,64,L,-16.5,W,143.0,U
Dec 10, 2016,ILCHI,69,GRCNYN,73,W,0.0,,0.0,
Dec 7, 2016,SD.ST,72,GRCNYN,76,W,0.0,,0.0,
Dec 3, 2016,LOUIS,79,GRCNYN,70,L,0.0,,0.0,
Dec 28, 2015,GRCNYN,86,SIUED,75,W,0.0,,0.0,
Dec 22, 2015,GRCNYN,85,MARSH,81,W,+4.5,L,162.0,O
Dec 21, 2015,GRCNYN,78,HOUST,69,W,-2.5,W,147.5,U
Dec 18, 2015,GRCNYN,52,SD.ST,45,W,0.0,,0.0,
Dec 15, 2015,DELST,59,GRCNYN,88,W,0.0,,0.0,
Dec 13, 2015,NEBOM,108,GRCNYN,104,L,0.0,,0.0,
Dec 8, 2015,SUTHR,56,GRCNYN,70,W,0.0,,0.0,
Dec 5, 2015,GRCNYN,63,LOUIS,111,L,0.0,,0.0,
Dec 3, 2015,CMICH,72,GRCNYN,75,W,0.0,,0.0,
Dec 30, 2014,HARVD,72,GRCNYN,59,L,0.0,,0.0,
Dec 28, 2014,ABILE,81,GRCNYN,83,W,0.0,,0.0,
