Jan 31, 2018,INDST,63,VALPO,69,L,-2.0,L,144.0,U
Jan 28, 2018,BRAD,81,INDST,73,L,-4.5,L,135.5,O
Jan 24, 2018,INDST,77,S.ILL,82,L,-2.0,L,140.0,O
Jan 20, 2018,ILLST,54,INDST,84,W,-4.0,W,144.0,U
Jan 17, 2018,INDST,71,EVANS,66,W,-3.5,W,131.5,O
Jan 14, 2018,INDST,73,MIZST,76,L,-9.0,W,135.0,O
Jan 10, 2018,NIOWA,67,INDST,69,W,-2.5,L,123.5,O
Jan 6, 2018,DRAKE,75,INDST,72,L,-4.5,L,144.0,O
Jan 3, 2018,INDST,61,LOYCH,57,W,-6.0,W,138.5,U
Jan 28, 2017,LOYCH,81,INDST,66,L,+2.0,L,137.5,O
Jan 25, 2017,INDST,66,ILLST,71,L,-13.0,W,132.5,O
Jan 21, 2017,INDST,58,WICHI,84,L,-20.0,L,148.0,U
Jan 18, 2017,MIZST,73,INDST,68,L,-1.5,L,139.0,O
Jan 14, 2017,BRAD,71,INDST,81,W,-7.5,W,138.5,O
Jan 11, 2017,INDST,70,DRAKE,87,L,0.0,L,150.0,O
Jan 7, 2017,ILLST,77,INDST,58,L,+4.0,L,135.5,U
Jan 4, 2017,INDST,74,S.ILL,80,L,-2.0,L,138.5,O
Jan 30, 2016,INDST,96,LOYCH,104,L,+2.5,L,127.5,O
Jan 27, 2016,MIZST,59,INDST,68,W,-9.0,P,137.5,U
Jan 24, 2016,EVANS,65,INDST,82,W,+4.0,W,142.0,O
Jan 20, 2016,INDST,66,S.ILL,79,L,-4.0,L,148.5,U
Jan 17, 2016,INDST,62,WICHI,82,L,-15.0,L,135.0,O
Jan 13, 2016,NIOWA,60,INDST,74,W,+1.5,W,133.0,O
Jan 9, 2016,ILLST,65,INDST,77,W,-5.0,W,132.5,O
Jan 6, 2016,INDST,79,DRAKE,69,W,+1.0,W,132.5,O
Jan 2, 2016,LOYCH,58,INDST,73,W,-5.0,W,127.0,O
Jan 31, 2015,BRAD,58,INDST,64,W,-10.5,L,127.0,U
Jan 27, 2015,INDST,78,EVANS,89,L,-6.5,L,135.5,O
Jan 24, 2015,LOYCH,61,INDST,72,W,-5.0,W,125.5,O
Jan 21, 2015,INDST,60,NIOWA,66,L,-13.5,W,121.0,O
