Dec 31, 2017,GA,61,KENTY,66,W,-9.5,L,146.5,U
Dec 29, 2017,LOUIS,61,KENTY,90,W,-5.0,W,147.5,O
Dec 23, 2017,UCLA,83,KENTY,75,L,-6.5,L,157.5,O
Dec 16, 2017,VATEC,86,KENTY,93,W,-6.0,W,157.0,O
Dec 9, 2017,MONMO,76,KENTY,93,W,-14.0,W,144.5,O
Dec 2, 2017,HARVD,70,KENTY,79,W,-18.5,L,145.5,O
Dec 29, 2016,KENTY,99,MISS,76,W,+10.5,W,166.5,O
Dec 21, 2016,KENTY,70,LOUIS,73,L,+1.5,L,157.0,U
Dec 17, 2016,KENTY,103,UNC,100,W,+1.0,W,171.0,O
Dec 11, 2016,HOFST,73,KENTY,96,W,-25.5,L,165.5,O
Dec 7, 2016,VALPO,63,KENTY,87,W,-20.0,W,156.0,U
Dec 3, 2016,UCLA,97,KENTY,92,L,-11.0,L,177.0,O
Dec 26, 2015,LOUIS,73,KENTY,75,W,-1.5,W,139.5,O
Dec 19, 2015,OHIOS,74,KENTY,67,L,-10.0,L,135.5,O
Dec 12, 2015,ARZST,58,KENTY,72,W,-13.0,W,140.5,U
Dec 9, 2015,EKENT,67,KENTY,88,W,-24.5,L,160.5,U
Dec 3, 2015,KENTY,77,UCLA,87,L,+6.5,L,144.0,O
Dec 27, 2014,KENTY,58,LOUIS,50,W,+5.5,W,131.0,U
Dec 20, 2014,UCLA,44,KENTY,83,W,-15.5,W,136.0,U
Dec 13, 2014,UNC,70,KENTY,84,W,-12.0,W,136.0,O
Dec 10, 2014,COLUM,46,KENTY,56,W,-26.0,L,116.5,U
Dec 7, 2014,EKENT,49,KENTY,82,W,-25.5,W,133.0,U
Dec 5, 2014,TEXAS,51,KENTY,63,W,-12.5,L,123.0,U
Dec 28, 2013,LOUIS,66,KENTY,73,W,+3.0,W,147.0,U
Dec 21, 2013,BELMT,80,KENTY,93,W,-17.5,L,153.0,O
Dec 14, 2013,KENTY,77,UNC,82,L,-3.0,L,146.5,O
Dec 10, 2013,BOISE,55,KENTY,70,W,-11.0,W,157.5,U
Dec 6, 2013,KENTY,62,BAYLR,67,L,+5.0,L,143.0,U
Dec 1, 2013,KENTY,79,PROV,65,W,+6.5,W,143.5,O
Dec 29, 2012,KENTY,77,LOUIS,80,L,-7.5,W,138.0,O
