Jan 27, 2018,CCONN,89,LIU,94,W,0.0,,0.0,
Jan 25, 2018,LIU,80,MTSTM,86,L,-4.0,L,149.5,O
Jan 20, 2018,LIU,63,CCONN,72,L,0.0,,0.0,
Jan 18, 2018,BRYANT,79,LIU,83,W,0.0,,0.0,
Jan 13, 2018,WAGNR,67,LIU,69,W,0.0,,0.0,
Jan 11, 2018,LIU,90,FDU,85,W,0.0,,0.0,
Jan 6, 2018,LIU,79,ROBMO,88,L,0.0,,0.0,
Jan 4, 2018,LIU,68,STFPA,85,L,0.0,,0.0,
Jan 28, 2017,LIU,52,CCONN,61,L,0.0,,0.0,
Jan 26, 2017,LIU,60,SACRD,57,W,0.0,,0.0,
Jan 21, 2017,LIU,66,FDU,83,L,0.0,,0.0,
Jan 19, 2017,WAGNR,69,LIU,76,W,0.0,,0.0,
Jan 14, 2017,STFNY,58,LIU,63,W,0.0,,0.0,
Jan 12, 2017,CCONN,49,LIU,60,W,0.0,,0.0,
Jan 7, 2017,LIU,83,STFPA,70,W,0.0,,0.0,
Jan 5, 2017,LIU,65,ROBMO,54,W,0.0,,0.0,
Jan 30, 2016,FDU,88,LIU,85,L,0.0,,0.0,
Jan 27, 2016,SACRD,84,LIU,92,W,0.0,,0.0,
Jan 23, 2016,STFNY,64,LIU,49,L,0.0,,0.0,
Jan 21, 2016,LIU,95,FDU,101,L,0.0,,0.0,
Jan 16, 2016,LIU,79,BRYANT,61,W,0.0,,0.0,
Jan 14, 2016,LIU,71,WAGNR,70,W,0.0,,0.0,
Jan 9, 2016,STFPA,72,LIU,65,L,0.0,,0.0,
Jan 7, 2016,ROBMO,70,LIU,60,L,0.0,,0.0,
Jan 4, 2016,LIU,76,CCONN,67,W,0.0,,0.0,
Jan 2, 2016,LIU,63,MTSTM,79,L,0.0,,0.0,
Jan 31, 2015,LIU,64,STFNY,81,L,0.0,,0.0,
Jan 29, 2015,CCONN,55,LIU,67,W,0.0,,0.0,
Jan 24, 2015,LIU,80,FDU,76,W,0.0,,0.0,
Jan 22, 2015,LIU,69,BRYANT,74,L,0.0,,0.0,
