Dec 29, 2017,SIENA,58,MARST,63,W,+3.0,W,147.5,U
Dec 22, 2017,MARST,69,BROWN,90,L,-6.0,L,151.0,O
Dec 16, 2017,MARST,63,MURRAY,100,L,-14.5,L,149.5,O
Dec 9, 2017,STETS,79,MARST,76,L,0.0,,0.0,
Dec 6, 2017,COLGT,76,MARST,78,W,0.0,,0.0,
Dec 2, 2017,MARST,75,ARMY,82,L,0.0,,0.0,
Dec 1, 2017,MARST,100,CITDL,91,W,-4.5,W,171.0,O
Dec 31, 2016,MARST,80,IONA,93,L,-13.0,P,149.5,O
Dec 23, 2016,MARST,59,HOLYC,68,L,0.0,,0.0,
Dec 20, 2016,MARST,56,DELA,59,L,-2.5,L,143.5,U
Dec 10, 2016,JAXVL,85,MARST,64,L,0.0,,0.0,
Dec 7, 2016,MARST,66,ALBNY,78,L,0.0,,0.0,
Dec 4, 2016,MARST,63,QUINN,77,L,-2.5,L,154.5,U
Dec 2, 2016,NIAGR,66,MARST,72,W,-8.0,L,145.5,U
Dec 29, 2015,MARST,68,JAXVL,69,L,0.0,,0.0,
Dec 22, 2015,MARST,84,BROWN,83,W,-2.5,W,146.5,O
Dec 20, 2015,MARST,89,ARMY,83,W,0.0,,0.0,
Dec 12, 2015,DELA,70,MARST,69,L,+1.0,P,137.5,O
Dec 9, 2015,ALBNY,75,MARST,53,L,0.0,,0.0,
Dec 6, 2015,MARST,75,MANHT,70,W,-5.5,W,142.5,O
Dec 4, 2015,IONA,101,MARST,66,L,+8.5,L,162.5,O
Dec 28, 2014,MARST,64,ELON,69,L,-10.5,W,0.0,
Dec 20, 2014,STJOE,75,MARST,58,L,+8.5,L,0.0,
Dec 13, 2014,MARST,77,VMI,92,L,-13.5,L,0.0,
Dec 9, 2014,MARST,42,PENN,59,L,-11.5,L,0.0,
Dec 7, 2014,MARST,38,MANHT,60,L,-15.0,L,0.0,
Dec 4, 2014,MONMO,57,MARST,50,L,+4.5,L,0.0,
Dec 1, 2014,MARST,61,BC,79,L,-14.5,L,0.0,
Dec 22, 2013,PENN,62,MARST,76,W,-2.5,W,138.5,U
Dec 20, 2013,BUCKN,51,MARST,69,W,0.0,,0.0,
