Dec 31, 2017,E.TEN,74,MERCR,55,L,-3.5,L,144.0,U
Dec 28, 2017,KENNE,56,MERCR,89,W,0.0,,0.0,
Dec 19, 2017,MERCR,79,ALA,80,L,-7.5,W,151.0,O
Dec 17, 2017,MERCR,85,LASAL,95,L,-3.5,L,138.0,O
Dec 9, 2017,FLA&M,64,MERCR,82,W,0.0,,0.0,
Dec 2, 2017,MERCR,81,MEMPH,83,L,-2.0,P,137.0,O
Dec 31, 2016,MERCR,71,WOFFD,88,L,-3.0,L,134.5,O
Dec 28, 2016,MERCR,80,KENNE,76,W,0.0,,0.0,
Dec 22, 2016,LASAL,98,MERCR,96,L,+2.5,W,144.5,O
Dec 18, 2016,MERCR,74,AUBRN,76,L,-9.5,W,145.0,O
Dec 10, 2016,MERCR,47,CLEMS,90,L,-13.5,L,130.0,O
Dec 7, 2016,OGLET,41,MERCR,98,W,0.0,,0.0,
Dec 3, 2016,MERCR,68,GMASN,79,L,-2.5,L,128.5,O
Dec 30, 2015,MERCR,76,KENNE,73,W,0.0,,0.0,
Dec 22, 2015,MERCR,44,OHIOS,64,L,-11.0,L,128.5,U
Dec 19, 2015,MERCR,69,ARK,66,W,-6.5,W,145.5,U
Dec 15, 2015,MERCR,71,AUBRN,78,L,-6.5,L,146.5,O
Dec 5, 2015,ALCRN,43,MERCR,68,W,0.0,,0.0,
Dec 2, 2015,HIWASE,47,MERCR,82,W,0.0,,0.0,
Dec 30, 2014,MERCR,50,TEXAM,65,L,-12.0,L,121.0,U
Dec 27, 2014,MERCR,77,GA,86,L,-15.0,W,124.0,O
Dec 22, 2014,MERCR,54,TENN,64,L,-12.0,W,121.5,U
Dec 19, 2014,BCOOK,46,MERCR,67,W,0.0,,0.0,
Dec 16, 2014,DART,67,MERCR,51,L,-4.0,L,0.0,
Dec 6, 2014,VMI,81,MERCR,90,W,-9.0,P,0.0,
Dec 2, 2014,STAND,33,MERCR,62,W,0.0,,0.0,
Dec 30, 2013,MERCR,86,JAXVL,49,W,0.0,,0.0,
Dec 27, 2013,STAND,56,MERCR,98,W,0.0,,0.0,
Dec 22, 2013,MERCR,79,MISS,76,W,0.0,,0.0,
Dec 16, 2013,ALCRN,44,MERCR,70,W,0.0,,0.0,
