Feb 24, 2018,SACRA,74,SUTAH,77,L,-4.0,W,146.5,O
Feb 22, 2018,SACRA,53,NARIZ,58,L,+2.5,L,138.0,U
Feb 17, 2018,WEBER,83,SACRA,73,L,+4.5,L,140.0,O
Feb 15, 2018,ID.ST,67,SACRA,64,L,-2.5,L,141.0,U
Feb 10, 2018,SACRA,69,MONTA,71,L,-16.5,W,137.5,O
Feb 8, 2018,SACRA,76,MONST,92,L,-4.5,L,138.5,O
Feb 3, 2018,IDAHO,81,SACRA,58,L,+5.0,L,136.0,O
Feb 1, 2018,EWASH,74,SACRA,54,L,+1.0,L,137.0,U
Feb 25, 2017,SUTAH,76,SACRA,86,W,-8.5,W,152.0,O
Feb 23, 2017,NARIZ,73,SACRA,69,L,-8.5,L,142.5,U
Feb 18, 2017,SACRA,59,MONST,62,L,-6.5,W,151.0,U
Feb 16, 2017,SACRA,67,MONTA,65,W,-10.5,W,147.0,U
Feb 11, 2017,ID.ST,63,SACRA,75,W,-5.5,W,145.5,U
Feb 9, 2017,WEBER,74,SACRA,77,W,+7.0,W,142.5,O
Feb 4, 2017,SACRA,67,IDAHO,81,L,-8.0,L,138.0,O
Feb 2, 2017,SACRA,72,EWASH,77,L,-9.5,W,143.5,O
Feb 27, 2016,SACRA,71,NDAKOT,97,L,-5.0,L,145.0,O
Feb 25, 2016,SACRA,67,NCOLO,72,L,-2.0,L,154.5,U
Feb 20, 2016,IDAHO,65,SACRA,68,W,-1.5,W,138.5,U
Feb 18, 2016,EWASH,93,SACRA,88,L,+2.5,L,156.0,O
Feb 13, 2016,SACRA,64,ID.ST,66,L,-2.5,W,149.5,U
Feb 11, 2016,SACRA,50,WEBER,63,L,-13.5,W,142.5,U
Feb 6, 2016,MONST,79,SACRA,76,L,-5.5,L,153.5,O
Feb 4, 2016,MONTA,79,SACRA,83,W,+3.5,W,137.0,O
Feb 28, 2015,SACRA,73,PORST,60,W,-2.5,W,143.5,U
Feb 21, 2015,NDAKOT,66,SACRA,74,W,-10.5,L,138.0,O
Feb 19, 2015,NCOLO,59,SACRA,66,W,-5.0,W,142.0,U
Feb 14, 2015,SACRA,58,IDAHO,69,L,-2.0,L,146.5,U
Feb 12, 2015,SACRA,61,EWASH,64,L,-8.0,W,152.5,U
Feb 7, 2015,PORST,60,SACRA,64,W,-7.5,L,144.0,U
