Feb 25, 2018,UCI,66,HAWAI,57,W,-2.0,W,132.0,U
Feb 22, 2018,SABAR,49,UCI,69,W,-2.5,W,139.0,U
Feb 17, 2018,UCI,75,CALPO,58,W,+5.0,W,134.0,U
Feb 15, 2018,HAWAI,62,UCI,61,L,-7.0,L,134.5,U
Feb 10, 2018,UCI,62,UCRIV,52,W,+7.0,W,132.0,U
Feb 7, 2018,CSNOR,56,UCI,77,W,-14.0,W,129.5,O
Feb 3, 2018,UCI,63,FULLR,58,W,0.0,W,137.5,U
Feb 25, 2017,CSNOR,80,UCI,83,W,-10.5,L,150.5,O
Feb 22, 2017,UCI,54,FULLR,56,L,+5.0,L,141.0,U
Feb 19, 2017,UCRIV,60,UCI,79,W,-13.5,W,130.0,O
Feb 12, 2017,UCI,72,HAWAI,58,W,+3.0,W,134.5,U
Feb 8, 2017,SABAR,47,UCI,64,W,-17.5,L,133.0,U
Feb 4, 2017,UCI,63,LONGB,72,L,+4.0,L,148.0,U
Feb 28, 2016,UCI,62,UCDAV,61,W,+8.5,L,125.0,U
Feb 24, 2016,LONGB,67,UCI,90,W,-4.5,W,139.0,O
Feb 20, 2016,HAWAI,75,UCI,71,L,-3.5,L,136.5,O
Feb 17, 2016,UCI,96,FULLR,77,W,+7.0,W,134.5,O
Feb 13, 2016,CSNOR,84,UCI,93,W,-10.5,L,137.5,O
Feb 12, 2016,UCI,52,HAWAI,74,L,-5.0,L,135.0,U
Feb 3, 2016,UCI,78,CALPO,72,W,+2.0,W,137.0,O
Feb 28, 2015,UCI,51,SABAR,54,L,-3.5,W,127.5,U
Feb 26, 2015,UCI,63,CALPO,56,W,+2.0,W,120.5,U
Feb 21, 2015,CSNOR,58,UCI,67,W,-11.5,L,132.0,U
Feb 19, 2015,HAWAI,60,UCI,75,W,-6.5,W,137.0,U
Feb 14, 2015,UCI,63,UCRIV,70,L,+5.5,L,129.5,O
Feb 7, 2015,UCI,56,LONGB,55,W,-4.5,W,131.5,U
Feb 5, 2015,UCDAV,75,UCI,56,L,-9.0,L,139.5,U
Feb 27, 2014,SABAR,60,UCI,71,W,-4.0,W,133.0,U
Feb 22, 2014,UCI,75,CSNOR,81,L,+5.5,L,144.5,O
Feb 20, 2014,UCI,60,HAWAI,56,W,-3.5,W,143.5,U
