Jan 27, 2018,GRCNYN,56,UTVAL,68,W,0.0,,0.0,
Jan 20, 2018,UTVAL,59,NMXST,86,L,0.0,,0.0,
Jan 18, 2018,UTVAL,84,UTRGV,76,W,0.0,,0.0,
Jan 13, 2018,CHIST,58,UTVAL,83,W,0.0,,0.0,
Jan 11, 2018,UMKC,59,UTVAL,95,W,0.0,,0.0,
Jan 6, 2018,CSBAK,42,UTVAL,75,W,0.0,,0.0,
Jan 28, 2017,NMXST,74,UTVAL,69,L,0.0,,0.0,
Jan 26, 2017,UTRGV,81,UTVAL,92,W,0.0,,0.0,
Jan 21, 2017,UTVAL,65,CSBAK,68,L,0.0,,0.0,
Jan 14, 2017,UMKC,76,UTVAL,86,W,0.0,,0.0,
Jan 12, 2017,CHIST,70,UTVAL,61,L,0.0,,0.0,
Jan 7, 2017,UTVAL,72,GRCNYN,82,L,0.0,,0.0,
Jan 2, 2017,ALPVLY,63,UTVAL,102,W,0.0,,0.0,
Jan 30, 2016,CSBAK,78,UTVAL,74,L,0.0,,0.0,
Jan 28, 2016,SEATT,73,UTVAL,62,L,0.0,,0.0,
Jan 23, 2016,UTVAL,82,CHIST,76,W,0.0,,0.0,
Jan 21, 2016,UTVAL,90,UMKC,79,W,0.0,,0.0,
Jan 16, 2016,UTVAL,88,GRCNYN,99,L,0.0,,0.0,
Jan 9, 2016,TEXPA,65,UTVAL,98,W,0.0,,0.0,
Jan 7, 2016,NMXST,78,UTVAL,66,L,0.0,,0.0,
Jan 2, 2016,SDCHRI,79,UTVAL,88,W,0.0,,0.0,
Jan 31, 2015,UMKC,66,UTVAL,59,L,0.0,,0.0,
Jan 29, 2015,CHIST,62,UTVAL,78,W,0.0,,0.0,
Jan 24, 2015,UTVAL,44,NMXST,69,L,0.0,,0.0,
Jan 22, 2015,UTVAL,72,TEXPA,54,W,0.0,,0.0,
Jan 15, 2015,GRCNYN,83,UTVAL,74,L,0.0,,0.0,
Jan 10, 2015,SEATT,52,UTVAL,70,W,0.0,,0.0,
Jan 3, 2015,UTVAL,46,ARK,79,L,-24.0,L,137.5,U
Jan 30, 2014,UTVAL,67,TEXPA,53,W,0.0,,0.0,
Jan 25, 2014,CHIST,55,UTVAL,62,W,0.0,,0.0,
