Dec 30, 2017,FURMN,87,VMI,57,L,+12.0,L,146.0,U
Dec 22, 2017,VMI,65,VACOM,75,L,-20.0,W,147.5,U
Dec 14, 2017,SOUWES,52,VMI,90,W,0.0,,0.0,
Dec 9, 2017,LONGW,70,VMI,81,W,0.0,,0.0,
Dec 5, 2017,VMI,51,DAVID,74,L,-26.0,W,146.5,U
Dec 2, 2017,RADFD,63,VMI,50,L,0.0,,0.0,
Dec 31, 2016,VMI,75,E.TEN,102,L,-21.5,L,146.0,O
Dec 23, 2016,VMI,56,DAYTN,92,L,-23.0,L,143.5,O
Dec 20, 2016,FROSST,53,VMI,72,W,0.0,,0.0,
Dec 13, 2016,CHASO,83,VMI,88,W,0.0,,0.0,
Dec 10, 2016,VMI,55,W.VA,90,L,-37.0,W,152.5,U
Dec 3, 2016,G.WEB,86,VMI,68,L,0.0,,0.0,
Dec 30, 2015,BWATR,37,VMI,72,W,0.0,,0.0,
Dec 21, 2015,VMI,76,G.WEB,75,W,0.0,,0.0,
Dec 12, 2015,NAVY,68,VMI,62,L,0.0,,0.0,
Dec 7, 2015,VMI,66,BUTLR,93,L,-24.0,L,149.5,O
Dec 5, 2015,VMI,62,OHIOS,89,L,-15.5,L,136.5,O
Dec 2, 2015,CENPEN,72,VMI,107,W,0.0,,0.0,
Dec 30, 2014,VMI,60,GWASH,80,L,-20.0,P,156.5,U
Dec 22, 2014,VMI,74,VATEC,87,L,-10.0,L,0.0,
Dec 13, 2014,MARST,77,VMI,92,W,-13.5,W,0.0,
Dec 9, 2014,VMI,66,NAVY,84,L,0.0,,0.0,
Dec 6, 2014,VMI,81,MERCR,90,L,-9.0,P,0.0,
Dec 4, 2014,VMI,88,SAMFD,66,W,-3.0,W,0.0,
Dec 2, 2014,MIDATL,62,VMI,133,W,0.0,,0.0,
Dec 30, 2013,VMI,50,CLEMS,80,L,0.0,,0.0,
Dec 19, 2013,VMI,94,E.CAR,103,L,0.0,,0.0,
Dec 9, 2013,VALYNC,78,VMI,110,W,0.0,,0.0,
Dec 7, 2013,WRIGH,74,VMI,94,W,0.0,,0.0,
Dec 3, 2013,VMI,70,ELON,87,L,0.0,,0.0,
