Mar 10, 2018,HOUST,77,WICHI,74,L,-3.0,L,149.0,O
Mar 9, 2018,TEMPL,81,WICHI,89,W,-11.0,L,145.5,O
Mar 4, 2018,CINCY,62,WICHI,61,L,-3.0,L,139.5,U
Mar 1, 2018,WICHI,75,UCF,71,W,+10.0,L,138.5,O
Mar 19, 2017,WICHI,62,KENTY,65,L,-3.0,P,148.5,U
Mar 17, 2017,WICHI,64,DAYTN,58,W,+6.5,L,144.0,U
Mar 5, 2017,WICHI,71,ILLST,51,W,+6.5,W,133.0,U
Mar 4, 2017,MIZST,63,WICHI,78,W,-17.5,L,144.5,U
Mar 3, 2017,BRAD,56,WICHI,82,W,-21.5,W,140.5,U
Mar 19, 2016,WICHI,57,MIAMI,65,L,+2.0,L,129.0,U
Mar 17, 2016,WICHI,65,ARIZ,55,W,0.0,W,136.0,U
Mar 15, 2016,VANDY,50,WICHI,70,W,-4.0,W,133.5,U
Mar 5, 2016,NIOWA,57,WICHI,52,L,-9.0,L,123.0,U
Mar 4, 2016,LOYCH,58,WICHI,66,W,-18.5,L,127.5,U
Mar 26, 2015,WICHI,70,ND,81,L,+2.0,L,138.5,O
Mar 22, 2015,WICHI,78,KANSA,65,W,0.0,W,134.0,O
Mar 20, 2015,INDY,76,WICHI,81,W,-6.5,L,140.5,O
Mar 7, 2015,ILLST,65,WICHI,62,L,-8.5,L,125.5,O
Mar 6, 2015,S.ILL,45,WICHI,56,W,-18.0,L,123.5,U
Mar 23, 2014,KENTY,78,WICHI,76,L,-4.5,L,134.0,O
Mar 21, 2014,CALPO,37,WICHI,64,W,-17.0,W,125.5,U
Mar 9, 2014,INDST,69,WICHI,83,W,-12.5,W,130.5,O
Mar 8, 2014,MIZST,42,WICHI,67,W,-15.0,W,0.0,
Mar 7, 2014,EVANS,58,WICHI,80,W,-17.5,W,135.5,O
Mar 1, 2014,MIZST,45,WICHI,68,W,-16.0,W,135.5,U
Mar 30, 2013,WICHI,70,OHIOS,66,W,-5.0,W,129.5,O
Mar 28, 2013,LASAL,58,WICHI,72,W,-4.5,W,134.0,U
Mar 23, 2013,WICHI,76,GONZG,70,W,-6.5,W,130.0,O
Mar 21, 2013,WICHI,73,PITT,55,W,-4.5,W,120.0,O
Mar 10, 2013,WICHI,65,CREIG,68,L,-1.5,L,132.5,O
