Mar 7, 2018,AIRFO,90,UNLV,97,L,-9.5,W,146.0,O
Mar 3, 2018,SJ.ST,61,AIRFO,83,W,-9.5,W,133.0,O
Mar 9, 2017,AIRFO,55,COLST,81,L,-7.5,L,139.5,U
Mar 8, 2017,AIRFO,83,WYOM,68,W,-4.5,W,151.5,U
Mar 4, 2017,BOISE,98,AIRFO,70,L,+4.5,L,147.0,O
Mar 1, 2017,AIRFO,38,SD.ST,51,L,-13.0,P,136.0,U
Mar 9, 2016,AIRFO,102,UNLV,108,L,-10.5,W,143.0,O
Mar 5, 2016,AIRFO,73,COLST,87,L,-10.0,L,145.0,O
Mar 1, 2016,UT.ST,78,AIRFO,65,L,+4.5,L,138.5,O
Mar 12, 2015,AIRFO,68,BOISE,80,L,-11.0,L,128.0,O
Mar 11, 2015,AIRFO,68,NEWMX,61,W,-3.0,W,118.5,O
Mar 4, 2015,AIRFO,66,FRSNO,68,L,-6.5,W,132.0,O
Mar 12, 2014,AIRFO,59,FRSNO,61,L,-6.0,W,135.5,U
Mar 8, 2014,BOISE,61,AIRFO,64,W,+7.5,W,136.5,U
Mar 5, 2014,AIRFO,52,NEWMX,80,L,-17.0,L,133.0,U
Mar 1, 2014,UNLV,93,AIRFO,67,L,+5.0,L,130.5,O
Mar 23, 2013,AIRFO,57,WEBER,78,L,-9.0,L,140.5,U
Mar 21, 2013,AIRFO,69,HAWAI,65,W,-3.0,W,147.0,U
Mar 13, 2013,AIRFO,56,UNLV,72,L,-10.5,L,134.0,U
Mar 9, 2013,NEWMX,88,AIRFO,89,W,+4.0,W,130.0,O
Mar 6, 2013,AIRFO,51,SD.ST,58,L,-14.0,W,136.0,U
Mar 2, 2013,AIRFO,41,FRSNO,56,L,-2.0,L,127.0,U
Mar 8, 2012,AIRFO,64,NEWMX,79,L,-14.5,L,123.5,O
Mar 3, 2012,COLST,75,AIRFO,65,L,+2.5,L,123.5,O
Mar 18, 2011,AIRFO,75,SACLA,88,L,-5.5,L,132.0,O
Mar 15, 2011,NDAKOT,67,AIRFO,77,W,-14.5,L,124.5,O
Mar 10, 2011,AIRFO,53,UNLV,69,L,-12.5,L,124.0,U
Mar 5, 2011,AIRFO,61,NEWMX,66,L,-13.0,W,129.0,U
Mar 2, 2011,TCU,65,AIRFO,70,W,-6.5,L,125.0,O
Mar 11, 2010,AIRFO,69,NEWMX,75,L,-17.5,W,117.5,O
