Mar 6, 2018,ALAST,76,TEXSO,90,L,-12.5,L,154.5,O
Mar 3, 2018,GRAMB,66,ALAST,64,L,0.0,,0.0,
Mar 1, 2018,JACKS,60,ALAST,62,W,0.0,,0.0,
Mar 7, 2017,ALAST,72,TEXSO,87,L,-16.0,W,145.5,O
Mar 4, 2017,ALAST,59,JACKS,65,L,0.0,,0.0,
Mar 2, 2017,ALAST,69,GRAMB,82,L,0.0,,0.0,
Mar 10, 2016,ALAST,63,SUTHR,83,L,-2.0,L,143.0,O
Mar 5, 2016,GRAMB,58,ALAST,59,W,0.0,,0.0,
Mar 3, 2016,JACKS,54,ALAST,71,W,0.0,,0.0,
Mar 13, 2015,SUTHR,68,ALAST,66,L,-2.5,L,127.5,O
Mar 11, 2015,MSVAL,81,ALAST,93,W,-13.0,L,142.0,O
Mar 7, 2015,ALAST,62,JACKS,42,W,0.0,,0.0,
Mar 5, 2015,ALAST,78,GRAMB,46,W,0.0,,0.0,
Mar 2, 2015,PVA&M,67,ALAST,65,L,0.0,,0.0,
Mar 18, 2014,ALAST,49,SAMHO,71,L,-9.5,L,143.5,U
Mar 14, 2014,ALAST,61,TEXSO,73,L,-8.5,L,146.5,U
Mar 13, 2014,ALCRN,51,ALAST,64,W,-3.0,W,134.5,U
Mar 8, 2014,JACKS,63,ALAST,67,W,0.0,,0.0,
Mar 6, 2014,GRAMB,66,ALAST,68,W,0.0,,0.0,
Mar 3, 2014,ALAST,90,PVA&M,87,W,0.0,,0.0,
Mar 1, 2014,ALAST,66,TEXSO,86,L,0.0,,0.0,
Mar 14, 2013,ALAST,59,JACKS,66,L,-3.5,L,126.5,U
Mar 2, 2013,ALAST,74,GRAMB,62,W,0.0,,0.0,
Mar 8, 2012,ARKPB,60,ALAST,56,L,-1.0,L,118.0,U
Mar 3, 2012,JACKS,46,ALAST,49,W,0.0,,0.0,
Mar 1, 2012,GRAMB,61,ALAST,63,W,0.0,,0.0,
Mar 16, 2011,ALAST,61,TEXSA,70,L,-3.0,L,129.5,O
Mar 12, 2011,GRAMB,48,ALAST,65,W,-6.0,W,120.5,U
Mar 11, 2011,ALAST,73,TEXSO,66,W,-1.0,W,118.0,O
Mar 10, 2011,ALA&M,61,ALAST,81,W,-3.5,W,123.0,O
