Mar 7, 2018,ARZST,85,COLO,97,L,+7.0,L,147.5,O
Mar 3, 2018,STANF,84,ARZST,83,L,-8.0,L,158.5,O
Mar 1, 2018,CAL,53,ARZST,84,W,-14.0,W,152.5,U
Mar 9, 2017,ARZST,57,OREG,80,L,-16.5,L,154.0,U
Mar 8, 2017,STANF,88,ARZST,98,W,+5.0,W,149.5,O
Mar 4, 2017,ARIZ,73,ARZST,60,L,+8.5,L,152.5,U
Mar 9, 2016,ARZST,66,OREST,75,L,-4.0,L,140.5,O
Mar 5, 2016,CAL,68,ARZST,65,L,+5.5,W,143.0,U
Mar 3, 2016,STANF,64,ARZST,74,W,-3.0,W,141.5,U
Mar 22, 2015,ARZST,70,RICHM,76,L,-4.5,L,136.5,O
Mar 18, 2015,ARZST,68,UCONN,61,W,-1.5,W,134.5,U
Mar 11, 2015,USC,67,ARZST,64,L,-6.5,L,137.0,U
Mar 7, 2015,CAL,70,ARZST,74,W,-7.5,L,138.0,O
Mar 5, 2015,STANF,62,ARZST,67,W,-1.5,W,139.5,U
Mar 1, 2015,ARZST,81,COLO,87,L,-4.0,L,130.0,O
Mar 20, 2014,ARZST,85,TEXAS,87,L,-2.0,P,139.5,O
Mar 13, 2014,STANF,79,ARZST,58,L,+2.0,L,141.0,U
Mar 8, 2014,ARZST,76,OREST,78,L,-1.5,L,145.0,O
Mar 4, 2014,ARZST,78,OREG,85,L,-7.0,P,146.0,O
Mar 1, 2014,CAL,60,ARZST,78,W,-3.5,W,141.0,U
Mar 22, 2013,ARZST,86,BAYLR,89,L,-8.5,W,145.0,O
Mar 20, 2013,DETRT,68,ARZST,83,W,-3.0,W,156.0,U
Mar 14, 2013,ARZST,75,UCLA,80,L,-5.0,P,137.5,O
Mar 13, 2013,ARZST,89,STANF,88,W,-3.0,W,133.0,O
Mar 9, 2013,ARZST,58,ARIZ,73,L,-10.5,L,135.0,U
Mar 2, 2013,ARZST,56,USC,57,L,-2.5,W,136.5,U
Mar 7, 2012,ARZST,65,STANF,85,L,-9.0,L,123.0,O
Mar 4, 2012,ARIZ,80,ARZST,87,W,+8.5,W,124.0,O
Mar 9, 2011,ARZST,69,OREG,76,L,-2.0,L,129.5,O
Mar 5, 2011,OREST,66,ARZST,80,W,-6.0,W,133.0,O
