Feb 24, 2018,GONZG,79,BYU,65,L,+5.5,L,143.0,O
Feb 22, 2018,BYU,72,PORTL,60,W,+10.5,W,138.0,U
Feb 17, 2018,BYU,62,SD,75,L,+3.0,L,132.5,O
Feb 15, 2018,BYU,75,PEPPR,70,W,+10.5,L,143.5,O
Feb 10, 2018,SF,73,BYU,75,W,-9.5,L,135.0,O
Feb 8, 2018,SACLA,58,BYU,80,W,-15.5,W,131.5,O
Feb 3, 2018,BYU,60,GONZG,68,L,-12.0,W,145.0,U
Feb 1, 2018,BYU,69,LOYMA,76,L,+10.0,L,143.0,O
Feb 25, 2017,BYU,79,GONZG,71,W,-20.5,W,164.5,U
Feb 23, 2017,BYU,97,PORTL,78,W,+11.5,W,145.0,O
Feb 18, 2017,STMAR,70,BYU,57,L,+4.5,L,141.5,U
Feb 16, 2017,SD,70,BYU,82,W,-16.0,L,143.5,O
Feb 11, 2017,BYU,68,SF,52,W,-2.5,W,158.0,U
Feb 9, 2017,BYU,83,PEPPR,99,L,+9.0,L,159.5,O
Feb 4, 2017,PORTL,62,BYU,73,W,-18.5,L,151.0,U
Feb 2, 2017,GONZG,85,BYU,75,L,+10.0,P,161.5,U
Feb 27, 2016,GONZG,71,BYU,68,L,-3.0,L,155.0,U
Feb 25, 2016,PORTL,81,BYU,99,W,-18.0,P,168.5,O
Feb 20, 2016,SD,33,BYU,91,W,-18.0,W,145.0,U
Feb 18, 2016,BYU,69,SD,67,W,+11.5,L,146.5,U
Feb 13, 2016,BYU,96,SACLA,62,W,+10.0,W,152.0,O
Feb 11, 2016,BYU,114,SF,89,W,+8.0,W,165.0,O
Feb 6, 2016,PACIF,77,BYU,72,L,-17.0,L,150.0,U
Feb 4, 2016,STMAR,59,BYU,70,W,-1.0,W,151.0,U
Feb 28, 2015,BYU,73,GONZG,70,W,-13.5,W,158.0,U
Feb 26, 2015,BYU,82,PORTL,69,W,+2.5,W,155.5,U
Feb 19, 2015,SD,62,BYU,75,W,-11.0,W,145.0,U
Feb 14, 2015,PACIF,59,BYU,84,W,-16.0,W,146.5,U
Feb 12, 2015,STMAR,60,BYU,82,W,-5.5,W,150.5,U
Feb 7, 2015,BYU,87,LOYMA,68,W,+8.0,W,150.0,O
