Jan 27, 2018,LONGB,70,CSNOR,66,L,+7.0,W,145.5,U
Jan 25, 2018,CSNOR,56,UCDAV,63,L,-13.5,W,130.0,U
Jan 20, 2018,CALPO,54,CSNOR,72,W,+4.0,W,136.0,U
Jan 17, 2018,CSNOR,66,UCRIV,57,W,-6.5,W,134.0,U
Jan 13, 2018,UCI,71,CSNOR,54,L,+7.5,L,133.0,U
Jan 10, 2018,CSNOR,70,LONGB,80,L,-11.0,W,147.5,O
Jan 6, 2018,HAWAI,65,CSNOR,46,L,+7.5,L,138.5,U
Jan 28, 2017,CSNOR,63,UCRIV,59,W,+1.0,W,146.5,U
Jan 25, 2017,CSNOR,78,SABAR,57,W,+2.0,W,149.0,U
Jan 21, 2017,UCI,105,CSNOR,73,L,+3.5,L,148.0,O
Jan 19, 2017,CSNOR,77,HAWAI,80,L,-3.0,P,148.5,O
Jan 14, 2017,UCDAV,71,CSNOR,68,L,-4.0,L,154.5,U
Jan 11, 2017,CSNOR,89,LONGB,82,W,-6.5,W,156.0,O
Jan 7, 2017,CSNOR,70,FULLR,65,W,-4.5,W,161.5,U
Jan 4, 2017,UCRIV,76,CSNOR,82,W,-8.0,L,150.0,O
Jan 27, 2016,UCI,73,CSNOR,63,L,+7.5,L,138.0,U
Jan 23, 2016,CSNOR,61,SABAR,74,L,-8.0,L,143.0,U
Jan 21, 2016,CALPO,74,CSNOR,76,W,+4.5,W,156.0,U
Jan 16, 2016,UCRIV,75,CSNOR,72,L,-2.5,L,145.5,O
Jan 14, 2016,CSNOR,62,UCDAV,63,L,-2.5,W,139.5,U
Jan 9, 2016,CSNOR,85,FULLR,75,W,-5.5,W,149.0,O
Jan 6, 2016,LONGB,94,CSNOR,79,L,+5.0,L,154.0,O
Jan 2, 2016,MORGN,74,CSNOR,88,W,0.0,,0.0,
Jan 31, 2015,CSNOR,62,UCRIV,66,L,-3.5,L,133.5,U
Jan 29, 2015,HAWAI,84,CSNOR,73,L,+1.0,L,142.5,O
Jan 24, 2015,LONGB,64,CSNOR,58,L,+6.5,W,138.0,U
Jan 22, 2015,UCI,80,CSNOR,49,L,+4.5,L,135.0,U
Jan 17, 2015,CALPO,48,CSNOR,55,W,+2.5,W,122.5,U
Jan 15, 2015,CSNOR,74,SABAR,63,W,-12.0,W,137.0,P
Jan 10, 2015,CSNOR,68,HAWAI,83,L,-8.0,L,139.0,O
