Mar 8, 2018,PROV,72,CREIG,68,L,-3.5,L,150.0,U
Mar 3, 2018,CREIG,81,MARQ,85,L,-2.0,L,164.0,O
Mar 17, 2017,RHODEI,84,CREIG,72,L,+2.0,L,143.5,O
Mar 11, 2017,CREIG,60,VILLA,74,L,-10.5,L,141.0,U
Mar 10, 2017,XAVIR,72,CREIG,75,W,-4.0,L,147.5,U
Mar 9, 2017,CREIG,70,PROV,58,W,+2.0,W,145.0,U
Mar 4, 2017,CREIG,83,MARQ,91,L,-4.0,L,161.5,O
Mar 22, 2016,CREIG,82,BYU,88,L,-4.0,L,166.0,O
Mar 19, 2016,WAGNR,54,CREIG,87,W,-14.5,W,145.5,U
Mar 15, 2016,ALA,54,CREIG,72,W,-8.5,W,144.5,U
Mar 10, 2016,CREIG,73,SETON,81,L,-1.0,L,146.0,O
Mar 5, 2016,CREIG,93,XAVIR,98,L,-10.0,W,155.0,O
Mar 2, 2016,CREIG,66,PROV,70,L,-3.0,L,146.0,U
Mar 12, 2015,CREIG,55,GTOWN,60,L,-7.0,W,131.0,U
Mar 11, 2015,CREIG,78,DPAUL,63,W,+3.5,W,135.0,O
Mar 7, 2015,XAVIR,74,CREIG,73,L,+2.5,W,137.5,O
Mar 3, 2015,VILLA,76,CREIG,72,L,+9.5,W,134.5,O
Mar 23, 2014,BAYLR,85,CREIG,55,L,-3.5,L,143.0,U
Mar 21, 2014,ULLAF,66,CREIG,76,W,-13.5,L,155.5,U
Mar 15, 2014,PROV,65,CREIG,58,L,-7.5,L,146.5,U
Mar 14, 2014,XAVIR,78,CREIG,86,W,-6.5,W,145.0,O
Mar 13, 2014,DPAUL,62,CREIG,84,W,-16.5,W,147.0,U
Mar 8, 2014,PROV,73,CREIG,88,W,-11.5,W,144.0,O
Mar 4, 2014,CREIG,63,GTOWN,75,L,+3.5,L,141.5,U
Mar 1, 2014,CREIG,69,XAVIR,75,L,+2.5,L,143.5,O
Mar 24, 2013,CREIG,50,DUKE,66,L,-6.0,L,145.0,U
Mar 22, 2013,CINCY,63,CREIG,67,W,-3.0,W,128.0,O
Mar 10, 2013,WICHI,65,CREIG,68,W,-1.5,W,132.5,O
Mar 9, 2013,INDST,43,CREIG,64,W,-8.5,W,132.5,U
Mar 8, 2013,DRAKE,53,CREIG,65,W,-12.0,P,146.0,U
