Mar 3, 2018,CORNL,86,DART,75,L,-1.0,L,146.0,O
Mar 2, 2018,COLUM,78,DART,80,W,+3.0,W,146.5,O
Mar 4, 2017,DART,48,PRNCE,85,L,-16.5,L,130.5,O
Mar 3, 2017,DART,76,PENN,74,W,-11.0,W,135.5,O
Mar 5, 2016,PRNCE,84,DART,65,L,+9.5,L,142.0,O
Mar 4, 2016,PENN,64,DART,72,W,-4.5,W,136.5,U
Mar 18, 2015,DART,72,CANIS,87,L,-3.0,L,131.5,O
Mar 7, 2015,YALE,58,DART,59,W,+3.5,W,122.5,U
Mar 6, 2015,BROWN,69,DART,75,W,-8.5,L,130.5,O
Mar 8, 2014,DART,69,YALE,61,W,-9.5,W,129.5,O
Mar 7, 2014,DART,75,BROWN,68,W,-8.5,W,134.5,O
Mar 1, 2014,CORNL,78,DART,87,W,-9.5,L,137.5,O
Mar 9, 2013,COLUM,58,DART,64,W,+4.0,W,121.0,O
Mar 8, 2013,CORNL,62,DART,76,W,-2.5,W,135.0,O
Mar 2, 2013,DART,63,PRNCE,68,L,-17.0,W,121.0,O
Mar 1, 2013,DART,69,PENN,64,W,-7.5,W,126.0,O
Mar 3, 2012,DART,55,COLUM,61,L,-9.5,W,121.0,U
Mar 2, 2012,DART,57,CORNL,70,L,-9.0,L,126.5,O
Mar 5, 2011,PENN,70,DART,58,L,+7.5,L,128.0,P
Mar 4, 2011,PRNCE,77,DART,55,L,+12.5,L,125.5,O
Mar 6, 2010,DART,68,PENN,78,L,-11.0,W,122.0,O
Mar 5, 2010,DART,43,PRNCE,71,L,-18.5,L,106.5,O
Mar 7, 2009,DART,59,BROWN,69,L,-5.0,L,125.5,O
Mar 6, 2009,DART,62,YALE,74,L,-8.5,L,124.0,O
Mar 8, 2008,BROWN,75,DART,71,L,-8.5,L,126.5,O
Mar 7, 2008,YALE,50,DART,48,L,+3.0,W,135.5,U
Mar 1, 2008,DART,63,COLUM,47,W,-11.0,W,126.0,U
Mar 3, 2007,DART,53,CORNL,76,L,-8.5,L,123.5,O
Mar 2, 2007,DART,67,COLUM,69,L,-9.0,W,125.0,O
Mar 4, 2006,CORNL,64,DART,60,L,+1.0,L,123.0,O
