Mar 6, 2018,FLA&M,88,HOWRD,78,L,-3.0,L,142.5,O
Mar 1, 2018,HOWRD,78,COPIN,71,W,0.0,,0.0,
Mar 10, 2017,HOWRD,53,NORFK,68,L,-4.5,L,132.5,U
Mar 9, 2017,HOWRD,68,MORGN,65,W,-4.0,W,129.5,O
Mar 6, 2017,HOWRD,79,COPIN,73,W,+2.5,W,138.5,O
Mar 2, 2017,HOWRD,56,DELST,66,L,0.0,,0.0,
Mar 8, 2016,HOWRD,66,NCCEN,68,L,-5.0,W,135.0,U
Mar 12, 2015,DELST,65,HOWRD,60,L,+1.5,L,132.5,U
Mar 4, 2015,NJIT,71,HOWRD,62,L,0.0,,0.0,
Mar 2, 2015,NORFK,59,HOWRD,61,W,0.0,,0.0,
Mar 12, 2014,HOWRD,46,NCCEN,92,L,-18.5,L,126.5,O
Mar 11, 2014,NCA&T,47,HOWRD,53,W,+3.0,W,133.0,U
Mar 6, 2014,HOWRD,66,MORGN,68,L,0.0,,0.0,
Mar 3, 2014,HOWRD,69,COPIN,86,L,0.0,,0.0,
Mar 1, 2014,HOWRD,55,DELST,53,W,0.0,,0.0,
Mar 12, 2013,HOWRD,61,DELST,73,L,-4.0,L,103.5,O
Mar 2, 2013,DELST,56,HOWRD,53,L,0.0,,0.0,
Mar 7, 2012,HOWRD,61,NORFK,71,L,-8.5,L,125.0,O
Mar 6, 2012,HOWRD,51,NCA&T,50,W,-3.0,W,130.5,U
Mar 9, 2011,HOWRD,53,NORFK,68,L,-8.0,L,135.0,U
Mar 3, 2011,HAMPT,83,HOWRD,72,L,0.0,,0.0,
Mar 9, 2010,NCA&T,65,HOWRD,55,L,+6.5,L,132.0,U
Mar 4, 2010,HOWRD,42,HAMPT,90,L,0.0,,0.0,
Mar 10, 2009,HOWRD,58,FLA&M,71,L,0.0,,0.0,
Mar 5, 2009,HAMPT,54,HOWRD,48,L,0.0,,0.0,
Mar 2, 2009,HOWRD,71,NORFK,85,L,0.0,,0.0,
Mar 11, 2008,HOWRD,54,COPIN,55,L,0.0,,0.0,
Mar 6, 2008,HOWRD,58,HAMPT,71,L,0.0,,0.0,
Mar 3, 2008,NORFK,54,HOWRD,52,L,0.0,,0.0,
Mar 1, 2008,NCA&T,58,HOWRD,66,W,0.0,,0.0,
