Dec 30, 2017,NEAST,81,JMU,70,L,+3.0,L,141.5,O
Dec 20, 2017,JMU,63,FLA,72,L,-21.0,W,147.5,U
Dec 16, 2017,JMU,76,FLAIN,67,W,-1.5,W,141.5,O
Dec 10, 2017,JMU,71,RICHM,74,L,-4.5,W,140.5,O
Dec 5, 2017,JMU,82,CITDL,84,L,+6.5,L,190.0,U
Dec 2, 2017,CHARL,82,JMU,87,W,-3.5,W,149.5,O
Dec 31, 2016,DREXL,67,JMU,78,W,-1.0,W,141.0,O
Dec 28, 2016,EMENN,65,JMU,82,W,0.0,,0.0,
Dec 23, 2016,UMBC,62,JMU,61,L,0.0,,0.0,
Dec 20, 2016,RICHM,75,JMU,55,L,+4.5,L,137.0,U
Dec 17, 2016,JMU,61,APPST,73,L,-3.0,L,139.5,U
Dec 10, 2016,JMU,67,WMICH,74,L,-4.0,L,141.0,P
Dec 3, 2016,JMU,71,LONGW,59,W,0.0,,0.0,
Dec 31, 2015,COLCH,65,JMU,62,L,-6.0,L,136.0,U
Dec 22, 2015,MTSTM,53,JMU,73,W,0.0,,0.0,
Dec 20, 2015,E.CAR,61,JMU,67,W,-8.0,L,140.0,U
Dec 12, 2015,GMASN,46,JMU,69,W,-6.0,W,136.0,U
Dec 6, 2015,MARSH,84,JMU,107,W,-11.0,W,154.0,O
Dec 3, 2015,WMICH,57,JMU,63,W,-6.5,L,142.0,U
Dec 29, 2014,VALPO,79,JMU,52,L,+4.0,L,0.0,
Dec 22, 2014,NORFK,74,JMU,71,L,0.0,,0.0,
Dec 20, 2014,HIGHP,80,JMU,71,L,0.0,,0.0,
Dec 17, 2014,JMU,72,BALL,52,W,-1.0,W,0.0,
Dec 13, 2014,JMU,58,E.CAR,70,L,-2.5,L,0.0,
Dec 7, 2014,RICHM,46,JMU,51,W,+5.0,W,0.0,
Dec 2, 2014,CAMBP,61,JMU,63,W,0.0,,0.0,
Dec 30, 2013,BALL,68,JMU,73,W,-7.0,L,130.5,O
Dec 21, 2013,HAMPT,49,JMU,55,W,-2.5,W,133.0,U
Dec 18, 2013,JMU,65,NCGRE,78,L,+3.5,L,144.5,U
Dec 14, 2013,JMU,84,HIGHP,69,W,0.0,,0.0,
