Dec 29, 2017,LOUIS,61,KENTY,90,L,-5.0,L,147.5,O
Dec 23, 2017,GRCNYN,56,LOUIS,74,W,0.0,,0.0,
Dec 20, 2017,ALBNY,68,LOUIS,70,W,-14.5,L,143.5,U
Dec 16, 2017,MEMPH,72,LOUIS,81,W,-12.5,L,137.0,O
Dec 11, 2017,BRYANT,59,LOUIS,102,W,-29.0,W,148.0,O
Dec 9, 2017,INDY,62,LOUIS,71,W,-8.5,W,145.0,U
Dec 6, 2017,SIENA,60,LOUIS,86,W,-23.0,W,145.0,O
Dec 3, 2017,SETON,79,LOUIS,77,L,-1.5,L,141.5,O
Dec 31, 2016,LOUIS,77,INDY,62,W,+2.5,W,146.0,U
Dec 28, 2016,VIRGA,61,LOUIS,53,L,-3.0,L,118.0,U
Dec 21, 2016,KENTY,70,LOUIS,73,W,+1.5,W,157.0,U
Dec 17, 2016,EKENT,56,LOUIS,87,W,-26.5,W,146.0,U
Dec 10, 2016,TEXSO,71,LOUIS,102,W,0.0,,0.0,
Dec 7, 2016,S.ILL,51,LOUIS,74,W,-21.0,W,136.0,U
Dec 3, 2016,LOUIS,79,GRCNYN,70,W,0.0,,0.0,
Dec 26, 2015,LOUIS,73,KENTY,75,L,-1.5,L,139.5,O
Dec 23, 2015,UTVAL,68,LOUIS,98,W,-37.0,L,145.0,O
Dec 22, 2015,UMKC,47,LOUIS,75,W,-24.0,W,138.5,U
Dec 19, 2015,W.KEN,56,LOUIS,78,W,-23.0,L,141.5,U
Dec 16, 2015,KENNE,57,LOUIS,94,W,-36.0,W,137.5,O
Dec 12, 2015,EMICH,53,LOUIS,86,W,-21.0,W,139.5,U
Dec 5, 2015,GRCNYN,63,LOUIS,111,W,0.0,,0.0,
Dec 2, 2015,LOUIS,67,MICHS,71,L,-5.5,W,136.0,O
Dec 30, 2014,LONGB,48,LOUIS,63,W,-19.5,L,134.5,U
Dec 27, 2014,KENTY,58,LOUIS,50,L,+5.5,L,131.0,U
Dec 23, 2014,CSNOR,55,LOUIS,80,W,-24.5,W,136.5,U
Dec 20, 2014,LOUIS,76,W.KEN,67,W,+14.5,L,137.5,O
Dec 14, 2014,NCWIL,57,LOUIS,68,W,-28.5,L,140.5,U
Dec 9, 2014,LOUIS,94,INDY,74,W,+12.0,W,142.0,O
Dec 5, 2014,FLAIN,57,LOUIS,82,W,-29.5,L,0.0,
