Mar 1, 2018,STPET,60,MONMO,58,L,-3.0,L,127.5,U
Mar 14, 2017,MISS,91,MONMO,83,L,-1.0,L,167.0,O
Mar 5, 2017,SIENA,89,MONMO,85,L,-7.0,L,152.5,O
Mar 3, 2017,NIAGR,59,MONMO,84,W,-12.0,W,155.5,U
Mar 21, 2016,GWASH,87,MONMO,71,L,-2.0,L,153.0,O
Mar 16, 2016,BUCKN,80,MONMO,90,W,-8.5,W,161.5,O
Mar 7, 2016,IONA,79,MONMO,76,L,0.0,L,156.0,U
Mar 6, 2016,FAIRF,63,MONMO,76,W,-9.5,W,155.0,U
Mar 4, 2016,RIDER,48,MONMO,59,W,-9.0,W,139.5,U
Mar 8, 2015,MONMO,77,IONA,95,L,-5.5,L,140.5,O
Mar 7, 2015,CANIS,54,MONMO,60,W,-1.5,W,125.5,U
Mar 1, 2015,SIENA,57,MONMO,63,W,-7.5,L,137.0,U
Mar 6, 2014,MONMO,60,RIDER,71,L,-4.0,L,141.5,U
Mar 2, 2014,MONMO,54,SIENA,70,L,-6.5,L,138.5,U
Mar 2, 2013,WAGNR,67,MONMO,57,L,0.0,,0.0,
Mar 1, 2012,MONMO,68,ROBMO,87,L,-12.0,L,133.5,O
Mar 4, 2010,MONMO,75,QUINN,84,L,-13.5,W,136.0,O
Mar 6, 2008,MONMO,50,ROBMO,64,L,0.0,,0.0,
Mar 1, 2008,MONMO,67,MTSTM,81,L,0.0,,0.0,
Mar 17, 2006,MONMO,45,VILLA,58,L,-20.0,W,130.0,U
Mar 14, 2006,HAMPT,49,MONMO,71,W,-3.5,W,127.0,U
Mar 8, 2006,MONMO,49,FDU,48,W,0.0,,0.0,
Mar 5, 2006,MONMO,62,CCONN,48,W,0.0,,0.0,
Mar 2, 2006,LIU,63,MONMO,74,W,0.0,,0.0,
Mar 6, 2005,WAGNR,63,MONMO,60,L,0.0,,0.0,
Mar 3, 2005,CCONN,53,MONMO,54,W,0.0,,0.0,
Mar 19, 2004,MONMO,52,MISST,85,L,-22.0,L,136.0,O
Mar 10, 2004,CCONN,55,MONMO,67,W,-5.0,W,134.0,U
Mar 7, 2004,ROBMO,45,MONMO,62,W,0.0,,0.0,
Mar 6, 2004,MTSTM,52,MONMO,64,W,0.0,,0.0,
