Feb 24, 2018,ND.ST,84,NEBOM,62,W,+2.5,W,150.0,U
Feb 22, 2018,ND.ST,74,W.ILL,82,L,+5.5,L,137.5,O
Feb 17, 2018,IPFW,84,ND.ST,72,L,-4.5,L,149.0,O
Feb 13, 2018,MAYVL,53,ND.ST,87,W,0.0,,0.0,
Feb 10, 2018,ND.ST,63,DENVR,66,L,+2.5,L,138.5,U
Feb 8, 2018,ND.ST,66,ORALR,67,L,+2.0,L,143.5,U
Feb 3, 2018,SDKOTA,76,ND.ST,72,L,+1.5,L,146.0,O
Feb 1, 2018,ND.ST,63,SD.ST,82,L,-7.0,L,150.5,U
Feb 25, 2017,ND.ST,92,NEBOM,96,L,0.0,L,157.5,O
Feb 22, 2017,ND.ST,82,ORALR,80,W,+2.0,P,146.0,O
Feb 18, 2017,W.ILL,91,ND.ST,100,W,-11.0,L,136.0,O
Feb 15, 2017,ND.ST,61,IPFW,77,L,-4.5,L,156.0,U
Feb 11, 2017,DENVR,63,ND.ST,81,W,-5.0,W,143.0,O
Feb 8, 2017,SD.ST,65,ND.ST,82,W,-5.5,W,145.5,O
Feb 4, 2017,SDKOTA,76,ND.ST,66,L,-6.5,L,140.5,O
Feb 1, 2017,ND.ST,81,IUPUI,86,L,+2.0,L,151.0,O
Feb 27, 2016,ND.ST,59,DENVR,70,L,0.0,L,121.0,O
Feb 25, 2016,ND.ST,59,SD.ST,71,L,-11.5,L,134.5,U
Feb 20, 2016,IUPUI,59,ND.ST,63,W,-7.5,L,131.5,U
Feb 17, 2016,W.ILL,54,ND.ST,63,W,-7.5,W,129.0,U
Feb 13, 2016,ND.ST,69,NEBOM,76,L,-4.0,L,152.5,U
Feb 11, 2016,ND.ST,58,SDKOTA,72,L,-1.5,L,140.5,U
Feb 6, 2016,IU-FW,46,ND.ST,62,W,-4.0,W,142.0,U
Feb 4, 2016,ORALR,63,ND.ST,67,W,-6.0,L,145.5,U
Feb 26, 2015,ND.ST,58,ORALR,74,L,-1.5,L,131.5,O
Feb 21, 2015,IU-FW,62,ND.ST,66,W,-5.5,L,129.0,U
Feb 19, 2015,IUPUI,48,ND.ST,57,W,-9.5,L,119.0,U
Feb 14, 2015,ND.ST,58,SD.ST,68,L,-7.0,L,125.5,O
Feb 12, 2015,ND.ST,73,DENVR,69,W,-3.5,W,119.0,O
Feb 7, 2015,SDKOTA,47,ND.ST,71,W,-9.0,W,130.5,U
