Dec 31, 2017,EWASH,77,NDAKOT,64,L,0.0,L,154.5,U
Dec 29, 2017,IDAHO,74,NDAKOT,57,L,+2.5,L,150.5,U
Dec 16, 2017,NDAKOT,83,GONZG,89,L,-29.5,W,162.0,O
Dec 12, 2017,NDAKOT,63,SD.ST,99,L,-11.0,L,162.5,U
Dec 9, 2017,ND.ST,88,NDAKOT,79,L,-1.0,L,148.0,O
Dec 5, 2017,NDAKOT,68,CREIG,111,L,-19.0,L,169.0,O
Dec 31, 2016,NDAKOT,90,SACRA,82,W,+6.5,W,142.5,O
Dec 29, 2016,NDAKOT,62,PORST,99,L,+1.0,L,160.0,O
Dec 20, 2016,NDAKOT,73,IOWA,84,L,-11.0,P,165.0,U
Dec 16, 2016,ND.ST,87,NDAKOT,70,L,-5.0,L,137.5,O
Dec 10, 2016,NDAKOT,70,NIOWA,78,L,-9.0,W,131.0,O
Dec 7, 2016,NDAKOT,74,ND.ST,56,W,-5.5,W,135.0,U
Dec 31, 2015,IDAHO,74,NDAKOT,71,L,+2.5,L,131.5,O
Dec 22, 2015,NDAKOT,49,KANST,63,L,-17.0,W,139.0,U
Dec 17, 2015,VALST,59,NDAKOT,80,W,0.0,,0.0,
Dec 11, 2015,ND.ST,69,NDAKOT,67,L,+7.0,W,137.0,U
Dec 5, 2015,NDAKOT,65,BRAD,59,W,-2.5,W,131.0,U
Dec 1, 2015,WALDF,58,NDAKOT,78,W,0.0,,0.0,
Dec 22, 2014,NDAKOT,54,MARQ,67,L,-17.5,W,135.5,U
Dec 19, 2014,DICST,48,NDAKOT,78,W,0.0,,0.0,
Dec 13, 2014,NDAKOT,42,ND.ST,71,L,-7.5,L,0.0,
Dec 8, 2014,NDAKOT,56,MINN,92,L,-21.0,L,140.0,O
Dec 6, 2014,NDAKOT,63,DRAKE,62,W,-6.0,W,0.0,
Dec 29, 2013,NDAKOT,66,NCOLO,84,L,-4.5,L,148.0,O
Dec 21, 2013,SD.ST,77,NDAKOT,70,L,-5.5,L,157.5,U
Dec 15, 2013,PRESCO,32,NDAKOT,78,W,0.0,,0.0,
Dec 11, 2013,NDAKOT,69,BOWLG,79,L,-2.5,L,145.0,O
Dec 7, 2013,NDAKOT,64,BUTLR,79,L,-11.5,L,148.5,U
Dec 1, 2013,NDAKOT,76,PACIF,93,L,-3.5,L,154.0,O
Dec 28, 2012,BOWLG,53,NDAKOT,56,W,+3.0,W,124.5,U
