Jan 27, 2018,NEAST,67,DREXL,68,L,+5.5,L,148.0,U
Jan 25, 2018,NEAST,81,HOFST,67,W,-2.5,W,148.5,U
Jan 20, 2018,DELA,64,NEAST,76,W,-10.0,W,139.5,O
Jan 18, 2018,NEAST,90,W&M,70,W,-2.5,W,155.5,O
Jan 13, 2018,NEAST,81,NCWIL,77,W,+5.0,L,155.0,O
Jan 11, 2018,NEAST,66,COLCH,82,L,-3.5,L,135.0,O
Jan 7, 2018,JMU,67,NEAST,80,W,-8.5,W,141.0,O
Jan 5, 2018,ELON,60,NEAST,72,W,-5.0,W,141.0,U
Jan 2, 2018,HOFST,71,NEAST,70,L,-5.5,L,149.5,U
Jan 28, 2017,TOWSN,62,NEAST,69,W,-3.5,W,139.0,U
Jan 26, 2017,ELON,51,NEAST,49,L,-5.5,L,144.5,U
Jan 21, 2017,NEAST,73,HOFST,78,L,-1.5,L,149.5,O
Jan 19, 2017,NEAST,62,DELA,69,L,+8.5,L,132.0,U
Jan 14, 2017,NEAST,67,TOWSN,74,L,-2.0,L,140.0,O
Jan 12, 2017,DREXL,75,NEAST,92,W,-10.0,W,147.0,O
Jan 7, 2017,JMU,54,NEAST,64,W,-8.0,W,129.0,U
Jan 5, 2017,DELA,54,NEAST,90,W,-11.5,W,129.5,O
Jan 2, 2017,NEAST,75,DREXL,70,W,+4.5,W,151.0,U
Jan 30, 2016,ELON,71,NEAST,67,L,-5.5,L,149.5,U
Jan 28, 2016,NEAST,61,COLCH,68,L,-2.0,L,124.0,O
Jan 23, 2016,TOWSN,79,NEAST,72,L,-4.5,L,129.5,O
Jan 21, 2016,HOFST,96,NEAST,92,L,-3.5,L,151.0,O
Jan 16, 2016,NEAST,69,DELA,60,W,+7.5,W,142.5,U
Jan 14, 2016,JMU,75,NEAST,63,L,-5.5,L,140.5,U
Jan 9, 2016,NEAST,60,W&M,78,L,-2.0,L,144.0,U
Jan 7, 2016,DELA,56,NEAST,88,W,-11.5,W,138.0,O
Jan 2, 2016,NEAST,65,NCWIL,63,W,-6.5,W,152.5,U
Jan 31, 2015,ELON,61,NEAST,80,W,-9.5,W,134.0,O
Jan 28, 2015,NEAST,60,DREXL,65,L,+6.0,L,118.5,O
Jan 24, 2015,NEAST,62,W&M,78,L,-3.0,L,139.0,O
