Jan 29, 2018,ND,66,DUKE,88,L,-15.0,L,149.5,O
Jan 27, 2018,VATEC,80,ND,75,L,-3.0,L,143.5,O
Jan 20, 2018,ND,58,CLEMS,67,L,-6.5,L,134.0,U
Jan 16, 2018,LOUIS,82,ND,78,L,-2.5,L,140.0,O
Jan 13, 2018,UNC,69,ND,68,L,+5.0,W,146.5,U
Jan 10, 2018,ND,53,GATEC,60,L,-1.5,L,125.5,U
Jan 6, 2018,ND,51,SYRA,49,W,-6.5,W,128.5,U
Jan 3, 2018,NCST,58,ND,88,W,-6.5,W,144.5,O
Jan 30, 2017,DUKE,84,ND,74,L,+1.5,L,152.5,O
Jan 28, 2017,ND,60,GATEC,62,L,+7.0,L,136.5,U
Jan 24, 2017,VIRGA,71,ND,54,L,-1.5,L,129.5,U
Jan 21, 2017,SYRA,66,ND,84,W,-7.0,W,141.5,O
Jan 18, 2017,ND,80,FLAST,83,L,-5.5,W,155.0,O
Jan 14, 2017,ND,76,VATEC,71,W,-1.5,W,155.5,U
Jan 12, 2017,ND,67,MIAMI,62,W,-4.5,W,139.0,U
Jan 7, 2017,CLEMS,70,ND,75,W,-4.0,W,143.0,O
Jan 4, 2017,LOUIS,70,ND,77,W,-1.5,W,139.5,O
Jan 31, 2016,WAKE,62,ND,85,W,-10.0,W,157.0,U
Jan 28, 2016,ND,66,SYRA,81,L,-2.0,L,137.5,O
Jan 23, 2016,BC,49,ND,76,W,-19.0,W,140.0,U
Jan 20, 2016,VATEC,81,ND,83,W,-13.0,L,151.5,O
Jan 16, 2016,ND,95,DUKE,91,W,-8.5,W,153.5,O
Jan 13, 2016,GATEC,64,ND,72,W,-8.0,P,150.5,U
Jan 9, 2016,PITT,86,ND,82,L,-4.5,L,149.5,O
Jan 7, 2016,ND,82,BC,54,W,+9.5,W,139.0,U
Jan 2, 2016,ND,66,VIRGA,77,L,-9.5,L,134.0,O
Jan 31, 2015,ND,72,PITT,76,L,+3.0,L,136.0,O
Jan 28, 2015,DUKE,73,ND,77,W,+1.5,W,151.5,U
Jan 25, 2015,ND,81,NCST,78,W,+1.5,W,145.0,O
Jan 22, 2015,ND,85,VATEC,60,W,+10.5,W,138.0,O
