Dec 30, 2017,RADFD,78,PRESB,62,L,0.0,,0.0,
Dec 21, 2017,PIEDMT,60,PRESB,77,W,0.0,,0.0,
Dec 19, 2017,PRESB,55,VATEC,63,L,0.0,,0.0,
Dec 14, 2017,TOCCO,35,PRESB,104,W,0.0,,0.0,
Dec 5, 2017,SC.ST,77,PRESB,88,W,0.0,,0.0,
Dec 2, 2017,NCA&T,70,PRESB,73,W,0.0,,0.0,
Dec 31, 2016,PRESB,58,CAMBP,69,L,0.0,,0.0,
Dec 29, 2016,LIBRT,77,PRESB,61,L,0.0,,0.0,
Dec 22, 2016,PRESB,56,E.CAR,76,L,0.0,,0.0,
Dec 17, 2016,COASGA,48,PRESB,90,W,0.0,,0.0,
Dec 13, 2016,PRESB,48,USCUP,76,L,0.0,,0.0,
Dec 6, 2016,PRESB,50,TENN,90,L,0.0,,0.0,
Dec 1, 2016,J&WCH,63,PRESB,107,W,0.0,,0.0,
Dec 27, 2015,PRESB,66,MARQ,84,L,-23.0,W,139.0,O
Dec 22, 2015,PRESB,44,RICHM,74,L,0.0,,0.0,
Dec 19, 2015,PIEDMT,65,PRESB,69,W,0.0,,0.0,
Dec 15, 2015,PRESB,41,CLEMS,69,L,0.0,,0.0,
Dec 7, 2015,MONTR,69,PRESB,93,W,0.0,,0.0,
Dec 5, 2015,PRESB,70,WINTH,74,L,0.0,,0.0,
Dec 2, 2015,G.WEB,87,PRESB,76,L,0.0,,0.0,
Dec 31, 2014,G.WEB,81,PRESB,64,L,0.0,,0.0,
Dec 27, 2014,PRESB,65,VATEC,87,L,0.0,,0.0,
Dec 20, 2014,PRESB,60,TNMAR,77,L,0.0,,0.0,
Dec 16, 2014,SAMFD,81,PRESB,71,L,0.0,,0.0,
Dec 13, 2014,MONTR,68,PRESB,79,W,0.0,,0.0,
Dec 6, 2014,NCGRE,55,PRESB,53,L,0.0,,0.0,
Dec 3, 2014,PRESB,45,WOFFD,66,L,0.0,,0.0,
Dec 30, 2013,PRESB,59,SAMFD,71,L,0.0,,0.0,
Dec 18, 2013,APPST,69,PRESB,74,W,0.0,,0.0,
Dec 16, 2013,TNMAR,73,PRESB,70,L,0.0,,0.0,
