Dec 31, 2017,ROBMO,71,CCONN,57,W,0.0,,0.0,
Dec 29, 2017,ROBMO,68,BRYANT,54,W,0.0,,0.0,
Dec 22, 2017,CANIS,76,ROBMO,62,L,0.0,,0.0,
Dec 19, 2017,ROBMO,69,NCST,81,L,0.0,,0.0,
Dec 16, 2017,ROBMO,70,BUFF,86,L,0.0,,0.0,
Dec 10, 2017,DREXL,60,ROBMO,74,W,0.0,,0.0,
Dec 6, 2017,RIDER,75,ROBMO,78,W,0.0,,0.0,
Dec 2, 2017,ROBMO,74,SIENA,76,L,0.0,,0.0,
Dec 31, 2016,ROBMO,77,FDU,81,L,0.0,,0.0,
Dec 29, 2016,ROBMO,78,SACRD,67,W,0.0,,0.0,
Dec 21, 2016,BUFF,71,ROBMO,74,W,0.0,,0.0,
Dec 17, 2016,ROBMO,39,VIRGA,79,L,-31.5,L,114.5,O
Dec 10, 2016,OAKLN,74,ROBMO,53,L,0.0,,0.0,
Dec 6, 2016,DUQU,60,ROBMO,64,W,0.0,,0.0,
Dec 3, 2016,ROBMO,58,LEHIH,64,L,0.0,,0.0,
Dec 29, 2015,ROBMO,67,GA,79,L,-18.0,W,133.0,O
Dec 19, 2015,ROBMO,65,DUQU,72,L,0.0,,0.0,
Dec 17, 2015,LEHIH,67,ROBMO,69,W,0.0,,0.0,
Dec 14, 2015,ROBMO,71,COLUM,78,L,0.0,,0.0,
Dec 5, 2015,OAKLN,92,ROBMO,74,L,0.0,,0.0,
Dec 2, 2015,ROBMO,58,YOUNG,65,L,0.0,,0.0,
Dec 30, 2014,ROBMO,57,CLEMS,64,L,0.0,,0.0,
Dec 22, 2014,DELA,81,ROBMO,84,W,0.0,,0.0,
Dec 17, 2014,ROBMO,57,TOLDO,83,L,0.0,,0.0,
Dec 13, 2014,DUQU,59,ROBMO,75,W,0.0,,0.0,
Dec 7, 2014,BUFF,74,ROBMO,59,L,0.0,,0.0,
Dec 2, 2014,YOUNG,89,ROBMO,81,L,0.0,,0.0,
Dec 30, 2013,ROBMO,66,OKST,92,L,-25.5,L,149.5,O
Dec 22, 2013,ROBMO,94,OAKLN,100,L,0.0,,0.0,
Dec 18, 2013,CAMBP,61,ROBMO,72,W,0.0,,0.0,
