Feb 25, 2018,CITDL,75,W.CAR,92,L,-3.5,L,164.5,O
Feb 23, 2018,MERCR,83,CITDL,70,L,+6.5,L,166.0,U
Feb 20, 2018,CITDL,84,E.TEN,82,W,-18.0,W,165.5,O
Feb 17, 2018,VMI,75,CITDL,71,L,-8.5,L,162.5,U
Feb 15, 2018,NCGRE,82,CITDL,66,L,+10.0,L,160.0,U
Feb 10, 2018,CITDL,103,SAMFD,116,L,-4.5,L,181.0,O
Feb 8, 2018,CITDL,82,CHATT,85,L,-5.5,W,162.0,O
Feb 3, 2018,FURMN,92,CITDL,100,W,+12.0,W,171.0,O
Feb 1, 2018,WOFFD,78,CITDL,80,W,+9.5,W,168.0,U
Feb 27, 2017,CHATT,76,CITDL,85,W,+8.0,W,168.5,U
Feb 25, 2017,CITDL,102,SAMFD,96,W,-13.5,W,184.0,O
Feb 22, 2017,W.CAR,84,CITDL,80,L,-6.0,L,168.0,U
Feb 18, 2017,MERCR,89,CITDL,78,L,+8.0,L,167.5,U
Feb 11, 2017,CITDL,78,VMI,101,L,-3.5,L,184.0,U
Feb 9, 2017,CITDL,69,E.TEN,90,L,-21.5,W,183.0,U
Feb 4, 2017,FURMN,99,CITDL,91,L,+10.0,W,175.0,O
Feb 2, 2017,WOFFD,100,CITDL,90,L,+6.0,L,182.0,O
Feb 27, 2016,CITDL,95,VMI,111,L,-3.5,L,174.5,O
Feb 25, 2016,CITDL,63,NCGRE,92,L,-10.5,L,179.0,U
Feb 20, 2016,W.CAR,102,CITDL,97,L,+4.0,L,176.5,O
Feb 18, 2016,E.TEN,67,CITDL,51,L,+6.5,L,182.5,U
Feb 13, 2016,CITDL,89,WOFFD,99,L,-13.5,W,175.5,O
Feb 11, 2016,CITDL,75,FURMN,95,L,-12.0,L,167.0,O
Feb 8, 2016,SAMFD,95,CITDL,86,L,+3.0,L,176.0,O
Feb 6, 2016,CITDL,72,MERCR,88,L,-15.0,L,165.5,U
Feb 1, 2016,CITDL,85,CHATT,125,L,-19.0,L,174.5,O
Feb 28, 2015,W.CAR,67,CITDL,54,L,+5.0,L,135.0,U
Feb 26, 2015,E.TEN,73,CITDL,74,W,+7.0,W,136.0,O
Feb 21, 2015,CITDL,52,WOFFD,78,L,-15.5,L,121.5,O
Feb 19, 2015,CITDL,62,FURMN,56,W,-5.5,W,131.0,U
