Dec 31, 2017,WASST,71,USC,89,W,-13.5,W,156.5,O
Dec 29, 2017,WASH,88,USC,81,L,-10.0,L,157.5,O
Dec 25, 2017,USC,77,NMXST,72,W,+4.5,W,146.0,O
Dec 23, 2017,MIDTN,84,USC,89,W,-3.0,W,146.0,O
Dec 22, 2017,AKRON,53,USC,84,W,-14.5,W,156.0,U
Dec 19, 2017,PRNCE,103,USC,93,L,-14.0,L,141.0,O
Dec 17, 2017,SABAR,87,USC,98,W,-12.0,L,149.5,O
Dec 14, 2017,SACLA,59,USC,82,W,-15.5,W,141.0,P
Dec 8, 2017,OKLA,85,USC,83,L,+3.0,W,165.0,O
Dec 2, 2017,USC,55,SMU,72,L,-3.0,L,140.0,U
Dec 30, 2016,USC,61,OREG,84,L,-9.5,L,148.5,U
Dec 28, 2016,USC,70,OREST,63,W,+11.5,L,134.5,U
Dec 23, 2016,WYOM,92,USC,94,W,-9.0,L,153.5,O
Dec 22, 2016,USC,83,MIZST,75,W,+9.0,L,147.0,O
Dec 19, 2016,CORNL,67,USC,79,W,-23.5,L,155.5,U
Dec 11, 2016,PEPPR,67,USC,93,W,-19.5,W,148.0,O
Dec 3, 2016,BYU,84,USC,91,W,-6.0,W,168.0,O
Dec 23, 2015,LAFAY,64,USC,100,W,-23.5,W,163.5,O
Dec 21, 2015,SIUED,51,USC,70,W,-21.0,L,150.5,U
Dec 17, 2015,CALPO,82,USC,101,W,-9.0,W,150.5,O
Dec 13, 2015,YALE,56,USC,68,W,-6.5,W,145.5,U
Dec 7, 2015,IDAHO,55,USC,74,W,-19.5,L,145.5,U
Dec 3, 2015,USC,75,SABAR,63,W,+1.5,W,149.5,U
Dec 30, 2014,VERMT,56,USC,64,W,-4.0,W,133.5,U
Dec 21, 2014,USC,75,BC,71,W,-7.5,W,132.5,O
Dec 13, 2014,ARMY,85,USC,77,L,-7.0,L,147.5,O
Dec 7, 2014,UT.ST,84,USC,89,W,-7.0,L,128.0,O
Dec 3, 2014,LOYMA,61,USC,77,W,-6.0,W,131.5,O
Dec 29, 2013,HOWRD,60,USC,82,W,-22.5,L,133.5,O
Dec 22, 2013,USC,79,DAYTN,76,W,-12.0,W,151.0,O
