Dec 30, 2017,CHIST,71,WMICH,92,W,0.0,,0.0,
Dec 22, 2017,WMICH,66,WISML,63,W,-5.0,W,137.0,U
Dec 18, 2017,IDAHO,82,WMICH,52,L,-5.0,L,141.0,U
Dec 9, 2017,WMICH,87,DETRT,79,W,+5.0,W,164.0,O
Dec 6, 2017,CLEST,67,WMICH,78,W,-13.5,L,139.5,O
Dec 2, 2017,OAKLN,78,WMICH,73,L,-4.0,L,153.5,U
Dec 29, 2016,ALA&M,50,WMICH,80,W,0.0,,0.0,
Dec 21, 2016,WMICH,68,UCLA,82,L,-30.0,W,174.5,U
Dec 18, 2016,WMICH,86,WASH,92,L,-12.5,W,165.5,O
Dec 10, 2016,JMU,67,WMICH,74,W,-4.0,W,141.0,P
Dec 7, 2016,WMICH,62,CLEST,85,L,+2.5,L,145.0,O
Dec 30, 2015,WMICH,61,VANDY,86,L,-19.0,L,140.0,O
Dec 22, 2015,IU-FW,89,WMICH,86,L,-5.0,L,145.5,O
Dec 12, 2015,MARYG,59,WMICH,101,W,0.0,,0.0,
Dec 7, 2015,NEAST,86,WMICH,87,W,+1.5,W,141.0,O
Dec 3, 2015,WMICH,57,JMU,63,L,-6.5,W,142.0,U
Dec 30, 2014,NH,56,WMICH,70,W,0.0,,0.0,
Dec 22, 2014,ALA&M,62,WMICH,71,W,0.0,,0.0,
Dec 20, 2014,WMICH,61,NWEST,67,L,-5.0,L,128.0,P
Dec 14, 2014,WMICH,80,PACIF,72,W,-2.0,W,0.0,
Dec 6, 2014,WMICH,69,NEAST,81,L,-6.0,L,0.0,
Dec 21, 2013,PVA&M,53,WMICH,92,W,0.0,,0.0,
Dec 18, 2013,WMICH,68,DRAKE,71,L,-6.5,W,135.0,O
Dec 15, 2013,WMICH,60,MIZZU,66,L,-15.5,W,146.0,U
Dec 7, 2013,WMICH,35,NWEST,51,L,-6.5,L,136.5,U
Dec 29, 2012,WMICH,68,NCST,84,L,-18.5,W,146.5,O
Dec 22, 2012,MTSTM,66,WMICH,87,W,0.0,,0.0,
Dec 19, 2012,WMICH,66,DUQU,71,L,-4.0,L,137.5,U
Dec 16, 2012,WMICH,70,HIGHP,64,W,0.0,,0.0,
Dec 8, 2012,WMICH,63,ILLST,85,L,-14.5,L,0.0,
