Dec 30, 2017,WOFFD,67,NCGRE,71,L,-5.5,W,135.5,O
Dec 20, 2017,WOFFD,79,UNC,75,W,-25.0,W,154.0,P
Dec 17, 2017,WOFFD,70,HIGHP,57,W,0.0,,0.0,
Dec 9, 2017,J&WCH,45,WOFFD,104,W,0.0,,0.0,
Dec 6, 2017,GATEC,60,WOFFD,63,W,+3.5,W,131.5,U
Dec 31, 2016,MERCR,71,WOFFD,88,W,-3.0,W,134.5,O
Dec 22, 2016,WOFFD,72,GATEC,76,L,-6.5,W,135.0,O
Dec 19, 2016,WOFFD,75,COCAR,74,W,-2.5,W,140.0,O
Dec 15, 2016,APEAY,77,WOFFD,96,W,-8.5,W,148.0,O
Dec 10, 2016,WOFFD,63,TCU,72,L,-18.5,W,134.0,O
Dec 6, 2016,VIRGW,56,WOFFD,116,W,0.0,,0.0,
Dec 3, 2016,WOFFD,57,MIAMI,74,L,-19.0,W,130.5,O
Dec 31, 2015,WOFFD,57,HARVD,77,L,-7.0,L,129.5,O
Dec 22, 2015,WOFFD,77,APEAY,84,L,+2.0,L,136.0,O
Dec 19, 2015,WOFFD,56,VANDY,80,L,-17.5,L,132.5,O
Dec 14, 2015,COCAR,71,WOFFD,63,L,0.0,,0.0,
Dec 6, 2015,WOFFD,51,CLEMS,66,L,-9.5,L,127.0,U
Dec 3, 2015,KYCHRS,66,WOFFD,86,W,0.0,,0.0,
Dec 1, 2015,WOFFD,61,GATEC,77,L,-10.5,L,136.0,O
Dec 31, 2014,WOFFD,55,DUKE,84,L,-22.5,L,130.5,O
Dec 22, 2014,WOFFD,44,W.VA,77,L,-13.0,L,0.0,
Dec 17, 2014,CHASO,58,WOFFD,64,W,0.0,,0.0,
Dec 14, 2014,WOFFD,55,NCST,54,W,-10.0,W,0.0,
Dec 6, 2014,FLANAT,57,WOFFD,88,W,0.0,,0.0,
Dec 3, 2014,PRESB,45,WOFFD,66,W,0.0,,0.0,
Dec 30, 2013,HIGHP,53,WOFFD,81,W,0.0,,0.0,
Dec 21, 2013,WOFFD,62,WINTH,56,W,0.0,,0.0,
Dec 17, 2013,WOFFD,57,VACOM,72,L,-19.0,W,128.0,O
Dec 14, 2013,WOFFD,52,STL,66,L,-17.0,W,123.5,U
Dec 7, 2013,W&M,63,WOFFD,60,L,+1.0,L,131.5,U
